unweighted_abruptness	weighted_abruptness	branchiness_mean	branchiness_variance	repeteadness_mean	repeteadness_variance	melodic_mean	melodic_variance	pitch_in_piece	pitch_in_rules	pitch_between_rules
2	2	2.933333333333333	0.8622222222222223	19.0	31.287643784786642	1.8	0.4266666666666667	13	1.8333333333333333	3.6857142857142855
7	9	3.1818181818181817	1.239669421487603	8.349999999999994	5.558627295547628	1.7272727272727273	0.38016528925619836	12	2.090909090909091	4.2272727272727275
5	6	3.061224489795918	2.8738025822573925	18.0	25.57841452676252	2.7142857142857144	3.795918367346939	21	3.8979591836734695	5.745454545454545
2	4	3.217391304347826	1.474480151228734	8.149999999999977	5.795046423834304	1.7391304347826086	0.45368620037807184	24	1.608695652173913	3.8
5	1	3.4482758620689653	1.7645659928656365	7.0	3.978280151433207	2.0172413793103448	0.4997027348394768	17	4.431034482758621	6.52542372881356
3	2	4.387755102040816	6.380258225739276	9.0	6.019182724742789	1.846938775510204	0.23167430237401082	20	3.2142857142857144	5.393939393939394
4	7	3.1724137931034484	2.9013079667063018	5.0	1.6753780407626562	1.5517241379310345	0.2473246135552913	24	3.8275862068965516	7.48
2	8	3.3333333333333335	1.6805555555555556	6.0	3.408870414498822	1.7916666666666667	0.3732638888888889	23	3.7083333333333335	6.162790697674419
4	5	3.0	1.5714285714285714	3.976923076923077	1.1889513883815879	1.5714285714285714	0.38775510204081637	17	1.8571428571428572	4.0
12	12	3.225806451612903	1.9812695109261187	10.0	9.428319475938524	1.5806451612903225	0.4370447450572321	17	2.4838709677419355	5.535714285714286
7	7	3.125	1.171875	7.0	3.6615997127806748	1.8125	0.40234375	22	4.96875	8.333333333333334
5	5	3.3333333333333335	1.5555555555555554	4.899999999999999	1.5413737155219036	1.8095238095238095	0.5351473922902493	12	2.238095238095238	5.230769230769231
8	10	3.2962962962962963	0.9122085048010973	9.0	6.331319857312723	1.6851851851851851	0.25274348422496573	22	2.685185185185185	5.406779661016949
2	2	2.0	0.0	1.8262295081967213	0.20550031353578793	1.0	0.0	4	0.0	2.0
2	2	2.75	0.9375	2.5999999999999996	0.4939986282578875	1.375	0.484375	15	0.5	7.833333333333333
5	9	3.3333333333333335	1.8888888888888886	5.0	1.7604188439985267	1.5833333333333333	0.32638888888888884	15	3.7916666666666665	7.818181818181818
16	1	3.3846153846153846	2.044378698224852	7.0	4.576594022317106	1.7307692307692308	0.3890532544378698	24	2.826923076923077	5.574074074074074
15	8	3.8125	2.33984375	7.0	4.297837900335299	1.78125	0.3583984375	15	5.09375	7.75
9	9	3.914285714285714	2.9640816326530612	7.0	3.6644820036615524	1.7857142857142858	0.39693877551020407	24	2.9285714285714284	5.388888888888889
5	7	3.235294117647059	1.4740484429065743	9.0	6.913693238899391	1.7058823529411764	0.32525951557093424	24	4.411764705882353	7.394736842105263
10	7	3.142857142857143	0.3129251700680272	5.0	1.8724399657151398	1.5238095238095237	0.24943310657596368	22	3.3333333333333335	7.238095238095238
5	5	2.769230769230769	0.9467455621301776	3.1999999999999993	0.8512110726643599	1.3076923076923077	0.21301775147928995	14	1.0769230769230769	6.375
6	5	3.8153846153846156	3.1043786982248522	7.0	4.223839099895941	1.876923076923077	0.5694674556213017	25	3.3076923076923075	5.192982456140351
1	1	2.9166666666666665	2.1597222222222223	7.666666666666667	4.180519081098095	1.4583333333333333	0.24826388888888884	43	1.5	5.107142857142857
5	9	3.269230769230769	1.7736686390532543	21.0	35.679764219191455	2.0	0.5769230769230769	24	4.423076923076923	7.035087719298246
12	14	3.2	1.1599999999999997	13.0	14.110744039069234	1.5333333333333334	0.24888888888888897	31	6.333333333333333	13.7
10	1	3.4594594594594597	2.0861943024105187	11.0	10.121329969464819	1.7162162162162162	0.2573046018991965	36	4.513513513513513	8.566265060240964
8	8	3.2972972972972974	2.2629656683710735	8.0	5.406671447524114	2.135135135135135	0.9276844411979547	17	5.0	8.205882352941176
2	2	3.09375	1.7412109375	9.0	6.686187163767992	1.890625	0.847412109375	34	3.265625	5.370967741935484
