unweighted_abruptness,weighted_abruptness,branchiness_mean,branchiness_variance,repeteadness_mean,repeteadness_variance,melodic_mean,melodic_variance,pitch_in_piece,pitch_in_rules,pitch_between_rules,label
2,2,2.933333333,0.862222222,19,31.28764378,1.8,0.426666667,13,1.833333333,3.685714286,Folk
7,9,3.181818182,1.239669421,8.35,5.558627296,1.727272727,0.380165289,12,2.090909091,4.227272727,Folk
5,6,3.06122449,2.873802582,18,25.57841453,2.714285714,3.795918367,21,3.897959184,5.745454545,Folk
2,4,3.217391304,1.474480151,8.15,5.795046424,1.739130435,0.4536862,24,1.608695652,3.8,Folk
5,1,3.448275862,1.764565993,7,3.978280151,2.017241379,0.499702735,17,4.431034483,6.525423729,Folk
3,2,4.387755102,6.380258226,9,6.019182725,1.846938776,0.231674302,20,3.214285714,5.393939394,Folk
4,7,3.172413793,2.901307967,5,1.675378041,1.551724138,0.247324614,24,3.827586207,7.48,Folk
2,8,3.333333333,1.680555556,6,3.408870414,1.791666667,0.373263889,23,3.708333333,6.162790698,Folk
4,5,3,1.571428571,3.976923077,1.188951388,1.571428571,0.387755102,17,1.857142857,4,Folk
12,12,3.225806452,1.981269511,10,9.428319476,1.580645161,0.437044745,17,2.483870968,5.535714286,Folk
7,7,3.125,1.171875,7,3.661599713,1.8125,0.40234375,22,4.96875,8.333333333,Folk
5,5,3.333333333,1.555555556,4.9,1.541373716,1.80952381,0.535147392,12,2.238095238,5.230769231,Folk
8,10,3.296296296,0.912208505,9,6.331319857,1.685185185,0.252743484,22,2.685185185,5.406779661,Folk
2,2,2,0,1.826229508,0.205500314,1,0,4,0,2,Folk
2,2,2.75,0.9375,2.6,0.493998628,1.375,0.484375,15,0.5,7.833333333,Folk
5,9,3.333333333,1.888888889,5,1.760418844,1.583333333,0.326388889,15,3.791666667,7.818181818,Folk
16,1,3.384615385,2.044378698,7,4.576594022,1.730769231,0.389053254,24,2.826923077,5.574074074,Folk
15,8,3.8125,2.33984375,7,4.2978379,1.78125,0.358398438,15,5.09375,7.75,Folk
9,9,3.914285714,2.964081633,7,3.664482004,1.785714286,0.396938776,24,2.928571429,5.388888889,Folk
5,7,3.235294118,1.474048443,9,6.913693239,1.705882353,0.325259516,24,4.411764706,7.394736842,Folk
10,7,3.142857143,0.31292517,5,1.872439966,1.523809524,0.249433107,22,3.333333333,7.238095238,Folk
5,5,2.769230769,0.946745562,3.2,0.851211073,1.307692308,0.213017751,14,1.076923077,6.375,Folk
6,5,3.815384615,3.104378698,7,4.2238391,1.876923077,0.569467456,25,3.307692308,5.192982456,Folk
1,1,2.916666667,2.159722222,7.666666667,4.180519081,1.458333333,0.248263889,43,1.5,5.107142857,Folk
5,9,3.269230769,1.773668639,21,35.67976422,2,0.576923077,24,4.423076923,7.035087719,Folk
12,14,3.2,1.16,13,14.11074404,1.533333333,0.248888889,31,6.333333333,13.7,Folk
10,1,3.459459459,2.086194302,11,10.12132997,1.716216216,0.257304602,36,4.513513514,8.56626506,Folk
8,8,3.297297297,2.262965668,8,5.406671448,2.135135135,0.927684441,17,5,8.205882353,Folk
2,2,3.09375,1.741210938,9,6.686187164,1.890625,0.847412109,34,3.265625,5.370967742,Folk
7,5,2.740740741,1.525377229,12.76470588,13.45185552,2.592592593,3.278463649,16,4.37037037,7.038461538,Folk
