unweighted_abruptness,weighted_abruptness,branchiness_mean,branchiness_variance,repeteadness_mean,repeteadness_variance,melodic_mean,melodic_variance,pitch_in_piece,pitch_in_rules,pitch_between_rules,label
15,4,2.705882353,1.207612457,4,1.311182357,1.911764706,0.668685121,23,6.147058824,10.10344828,Rock
3,3,2.375,0.859375,5.175,2.193152966,1.125,0.109375,27,0.5625,3.6,Rock
8,7,2.916666667,1.076388889,7.882352941,4.877851558,1.416666667,0.326388889,20,1.166666667,4.526315789,Rock
21,21,1.333333333,0.222222222,1.728571429,0.156887755,1,0,21,0,18.33333333,Rock
6,6,2,0,3,0.666666667,1,0,6,0,4,Rock
1,7,3,1.7,7.45,4.826388889,1.35,0.2275,17,1.55,4.375,Rock
3,3,1,0,1,0,1,0,3,0,3,Rock
4,2,2.933333333,1.128888889,5,1.722994811,1.466666667,0.315555556,36,2.066666667,5.555555556,Rock
5,7,2.923076923,1.224852071,5.930769231,2.551827072,1.807692308,0.463017751,15,2.653846154,4.583333333,Rock
5,5,2.857142857,0.979591837,7.5,4.794309881,1.357142857,0.229591837,24,2,7.166666667,Rock
4,16,2.941176471,1.349480969,2,0.204081633,1.352941176,0.228373702,31,3.235294118,13.4,Rock
4,4,2.333333333,0.555555556,2.65,0.484375,1,0,14,0,4.5,Rock
11,11,2.444444444,1.135802469,1,0.000225179,1.222222222,0.172839506,21,2.555555556,3,Rock
2,11,3.677419355,3.573361082,6.955,3.897334533,2.193548387,1.44640999,14,5.096774194,6.76,Rock
12,12,1.333333333,0.222222222,1.85,0.1875,1,0,12,0,7.333333333,Rock
2,2,2,0,4,1.25,1,0,10,0,4,Rock
6,9,3.052631579,2.36565097,4,1.169939139,1.578947368,0.664819945,22,2.263157895,6.4375,Rock
12,12,3.358490566,2.097899608,11,10.59462026,2.273584906,1.01005696,22,4.41509434,6.544642857,Rock
22,19,3,1.117647059,5.777777778,2.991635784,1.558823529,0.423010381,36,2.911764706,11.46666667,Rock
7,7,2,0,2,0.25,1,0,7,0,4.666666667,Rock
12,12,3.368421053,2.232686981,9.631837307,7.47214571,1.947368421,0.576177285,14,3.263157895,4.72972973,Rock
4,2,2.705882353,1.619377163,3.215384615,0.785640156,1.529411765,0.484429066,16,1.058823529,3.8,Rock
5,5,1.818181818,0.694214876,3.2,0.854373122,1.181818182,0.148760331,15,0.727272727,4.818181818,Rock
3,3,1.333333333,0.222222222,1.9,0.222222222,1,0,12,0,6,Rock
5,1,3.806451613,3.44640999,4,1.135609771,1.64516129,0.293444329,16,1.709677419,4.25,Rock
10,10,1,0,0,0,1,0,10,0,10,Rock
2,9,3.720930233,2.619794484,10,8.113467654,2.11627907,0.70740941,14,5.255813953,7.380952381,Rock
9,9,2.8,0.96,4.98,2.079546314,1,0,19,0,4.285714286,Rock
16,10,3.405405405,2.619430241,5,2.112658719,1.918918919,0.831263696,23,8.027027027,11.92857143,Rock
2,2,2.526315789,0.459833795,3.55,0.89,1.263157895,0.299168975,24,0.684210526,3.923076923,Rock
7,7,3.25,1.354166667,6,2.964233969,1.708333333,0.289930556,17,2.958333333,5.62962963,Rock
7,7,2.7,1.41,7.677777778,5.491011529,1.95,0.8475,12,5,7.466666667,Rock
7,7,2.285714286,0.489795918,2.80037724,0.476299327,1.571428571,0.244897959,10,3.857142857,6.75,Rock
3,3,3.357142857,2.515306122,5,2.061300709,1.892857143,0.452806122,10,2.714285714,4.592592593,Rock
2,4,3.111111111,2.098765432,2.45,0.409722222,1.222222222,0.172839506,26,0.666666667,3.25,Rock
3,1,3,2,3.28,0.836734694,1.642857143,0.515306122,9,0.928571429,2.625,Rock
3,16,3.487179487,4.86522025,12,12.10472696,1.871794872,0.419460881,22,6.58974359,9.711111111,Rock
1,1,1.333333333,0.222222222,1,0,1,0,3,0,1.5,Rock
6,6,3.388888889,1.237654321,12.75,13.84148331,1.833333333,0.416666667,20,5.333333333,9.923076923,Rock
2,2,2.705882353,2.089965398,4,1.38541773,1.235294118,0.179930796,17,0.470588235,3.923076923,Rock
10,10,2.666666667,1.288888889,3,0.690068701,1.933333333,0.595555556,15,5.066666667,8.076923077,Rock
2,12,2.444444444,1.135802469,2,0.234375,1.111111111,0.098765432,19,0.111111111,6,Rock
7,7,3.459459459,1.329437546,6,2.768,1.648648649,0.281957633,21,2.864864865,6.857142857,Rock
4,4,2.9,1.39,7,4.193612378,1.55,0.6475,19,1.95,4.4,Rock
1,1,1.6,0.64,1.85,0.1875,1,0,45,0,12.66666667,Rock
6,7,3.128205128,1.701512163,5.819589345,2.616794116,2.205128205,0.77843524,15,7.384615385,9.027027027,Rock
3,3,2.4,0.24,2.7,0.56122449,1.2,0.16,10,1,5.75,Rock
15,32,4.064864865,4.655252009,9.746753247,8.137227843,2.502702703,0.552695398,40,15.15675676,19.02185792,Rock
9,5,3.157894737,2.869806094,3.787234043,0.838553228,1.789473684,0.797783934,15,2.421052632,4.714285714,Rock
7,7,1.666666667,0.222222222,4.3,1.555555556,1,0,14,0,3.6,Rock
13,13,1.666666667,0.222222222,2.673076923,0.516845792,1,0,19,0,9.75,Rock
3,3,3.304347826,2.124763705,11.9,12.73634055,1.782608696,0.43100189,10,2.347826087,4.571428571,Rock
1,3,3.055555556,1.608024691,7,4.010097181,2.277777778,3.089506173,24,4.75,7.115384615,Rock
4,4,3.368421053,2.443213296,5.35,2.378395062,1.157894737,0.132963989,24,1.315789474,5.666666667,Rock
1,1,2.444444444,0.913580247,1.8,0.16,1.111111111,0.098765432,8,0.111111111,2,Rock
4,4,3,0.6,5.85,2.475753981,2.1,0.89,10,5.4,8.4,Rock
