-14 => -23 4
-14 => -18 2
-14 => -16 7
-14 => -25 1
-14 => -15 1
-25 => -4 141
-25 => -23 92
-25 => -12 52
-25 => -19 43
-25 => -15 51
-25 => -14 2
-25 -14 => -15 1
-25 -14 => -25 1
-23 => -12 115
-23 => -4 24
-23 => -25 83
-23 => -14 9
-23 => -16 12
-23 => -18 21
-23 => -19 38
-23 => -15 47
-23 => 20 1
-15 => -12 34
-15 => -16 3
-15 => -4 1
-15 => -23 59
-15 => -17 4
-15 => -25 54
-15 => -18 2
-15 -23 => -15 41
-15 -23 => -12 15
-15 -23 => -19 2
-15 -23 => -14 1
-17 => -15 4
-17 -15 => -23 4
-17 -15 -23 => -12 4
-12 => -15 50
-12 => -19 8
-12 => -25 49
-12 => -23 90
-12 => -4 35
-12 -15 => -23 26
-12 -15 => -12 16
-12 -15 => -16 3
-12 -15 => -17 1
-12 -15 => -25 3
-12 -15 => -4 1
-12 -15 -25 => -15 1
-12 -15 -25 => -23 2
-12 -15 -25 -15 => -23 1
-12 -15 -25 -15 -23 => -14 1
-4 => -15 1
-4 => -25 141
-4 => -12 35
-4 => -23 26
-4 -23 => -4 19
-4 -23 => -12 7
-19 => -25 44
-19 => -23 45
-19 => -12 2
-19 -23 => -19 35
-19 -23 => -12 10
-14 -23 => -15 1
-14 -23 => -12 3
-25 -23 => -25 82
-25 -23 => -12 4
-25 -23 => -15 1
-25 -23 => -16 2
-25 -23 => 20 1
-4 -25 => -4 135
-4 -25 => -23 5
-4 -25 => -12 1
-4 -25 -23 => -12 3
-23 -15 => -25 41
-23 -15 => -23 6
-23 -15 -25 => -15 39
-23 -15 -25 => -23 1
-23 -15 -25 => -12 1
-23 -15 -25 -23 => -16 1
-16 => -18 17
-16 => -23 3
-16 => -12 2
-16 -18 => -12 7
-16 -18 => -23 7
-16 -18 => -19 1
-16 -18 => -25 2
-16 -18 -23 => -16 6
-16 -18 -23 => -14 1
-18 => -12 15
-18 => -25 3
-18 => -23 22
-18 => -19 1
-18 -23 => -14 4
-18 -23 => -12 8
-18 -23 => -16 7
-18 -23 => -19 1
-18 -23 => -18 1
-12 -23 => -12 67
-12 -23 => -15 4
-12 -23 => -18 17
-12 -23 => -16 2
-12 -23 -18 => -12 6
-12 -23 -18 => -23 10
-12 -23 -18 -23 => -12 8
-12 -23 -18 -23 => -19 1
20 => -23 1
20 -23 => -25 1
-4 -12 => -4 24
-4 -12 => -23 1
-4 -12 -23 => -16 1
-16 -12 => -23 2
-16 -12 -23 => -15 2
-15 -12 => -15 29
-15 -12 => -23 3
-15 -12 => -25 1
-15 -12 -23 => -12 3
-15 -12 -23 -12 => -23 2
-15 -12 -23 -12 => -4 1
-15 -12 -23 -12 -23 => -15 2
-16 -18 -12 => -23 1
-16 -18 -12 -23 => -16 1
-16 -23 => -18 2
-16 -23 => -14 1
-19 -12 => -15 2
-4 -23 -12 => -4 6
-4 -23 -12 => -25 1
-14 -23 -12 => -15 3
-12 -23 -12 => -23 54
-12 -23 -12 => -25 12
-12 -23 -12 => -4 1
-15 -23 -12 => -15 8
-15 -23 -12 => -4 1
-15 -23 -12 => -25 3
-18 -23 -12 => -23 8
-19 -23 -12 => -15 2
-19 -23 -12 => -19 8
-18 -25 => -23 2
-18 -25 => -12 1
-18 -25 -12 => -15 1
-25 -12 => -25 32
-25 -12 => -23 13
-25 -12 => -15 5
-12 -23 -15 => -25 4
-12 -23 -15 -25 => -15 4
-12 -23 -15 -25 -15 => -12 4
-25 -23 -16 => -18 2
-25 -23 -16 -18 => -19 1
-25 -23 -16 -18 => -25 1
-14 -18 => -12 2
-25 -4 => -25 81
-25 -4 => -23 25
-25 -4 => -12 35
-25 -4 -25 => -4 81
-25 -4 -25 -4 => -25 53
-25 -4 -25 -4 => -12 25
-25 -4 -25 -4 => -23 3
-25 -4 -25 -4 -25 => -4 53
-25 -4 -25 -4 -25 -4 => -25 25
-25 -4 -25 -4 -25 -4 => -12 25
-25 -4 -25 -4 -25 -4 => -23 3
-25 -4 -25 -4 -25 -4 -25 => -4 25
-25 -4 -25 -4 -25 -4 -25 -4 => -12 25
-23 -12 => -23 65
-23 -12 => -25 16
-23 -12 => -4 8
-23 -12 => -19 8
-23 -12 => -15 13
-23 -12 -4 => -25 8
-23 -12 -4 -25 => -4 8
-23 -12 -4 -25 -4 => -23 8
-23 -4 => -25 23
-23 -4 => -23 1
-23 -4 -25 => -23 3
-23 -4 -25 => -4 19
-23 -4 -25 => -12 1
-23 -4 -25 -4 => -23 14
-23 -4 -25 -4 => -12 5
-12 -4 => -25 35
-15 -4 => -15 1
-19 -25 => -19 43
-19 -25 => -15 1
-14 -25 => -12 1
-12 -25 => -12 43
-12 -25 => -15 5
-12 -25 => -14 1
-15 -23 -12 -25 => -15 3
-25 -4 -25 -4 -23 => -4 3
-25 -4 -25 -4 -23 -4 => -25 3
-25 -4 -25 -4 -23 -4 -25 => -23 3
-15 -25 => -15 45
-15 -25 => -23 7
-15 -25 => -14 1
-15 -25 => -12 1
-25 -23 -15 => -25 1
-25 -23 -15 -25 => -12 1
-12 -25 -15 => -23 4
-12 -25 -15 => -25 1
-12 -25 -15 -25 => -14 1
-15 -25 -23 => -25 5
-15 -25 -23 => -16 1
-15 -25 -23 => -15 1
-15 -25 -23 -25 => -12 5
-23 -25 => -23 78
-23 -25 => -12 5
-12 -19 => -25 8
-25 -19 => -23 40
-25 -19 => -12 2
-25 -19 => -25 1
-23 -19 => -25 33
-23 -19 => -23 5
-15 -23 -19 => -23 2
