2 => -17 4
2 => -1 1
-17 => 4 3
-17 => 7 4
-17 => 2 4
-17 => -20 8
-17 => -1 4
-17 => -3 5
-1 => -5 20
-1 => -17 8
-1 => -10 6
-1 => -15 2
-1 => -20 2
-1 -17 => -20 8
7 => -17 3
7 => 2 1
7 -17 => 2 1
7 -17 => 7 2
4 => -17 3
4 -17 => 7 2
4 -17 => 4 1
-8 => -20 12
-8 => -12 8
-8 => -17 4
-8 => -27 4
-8 => -1 4
-8 => -3 6
-8 => -5 2
-8 -17 => -1 4
2 -17 => 4 2
2 -17 => 2 2
-10 => -3 14
-10 => -17 5
-10 => -15 2
-10 -17 => -3 5
-15 => -3 4
-15 => -1 2
-15 => -10 4
-15 => -5 2
-15 => 0 2
-15 -1 => -15 2
-8 -1 => -5 4
-3 => -5 24
-3 => -25 4
-3 => -23 12
-3 => -27 4
-3 => -8 14
-3 => -15 8
-3 => -20 8
-3 -20 => -1 2
-3 -20 => -5 2
-3 -20 => -8 2
-3 -20 => -3 2
-3 -20 -1 => -20 2
-20 => -24 12
-20 => -1 16
-20 => -22 14
-20 => -3 12
-20 => -5 4
-20 => -8 4
-20 -1 => -17 8
-20 -1 => -10 6
-20 -1 => -20 2
-24 => -8 8
-24 => -1 4
-24 => 0 6
-24 -1 => -5 4
-17 -1 => -5 4
-25 => -3 4
-25 => -1 5
-25 => -15 2
-25 => -24 2
-25 -1 => -5 5
-5 => -3 24
-5 => -10 12
-5 => 0 8
-5 => -20 14
-5 => -8 2
-8 -5 => -3 2
-15 -5 => -3 2
-20 -5 => -3 4
-17 -3 => -5 5
-17 -3 -5 => -20 5
-3 -5 => -20 6
-3 -5 => -3 4
-3 -5 => -10 12
-3 -5 => -8 2
-20 -5 -3 => -8 2
-20 -5 -3 => -5 2
-20 -5 -3 -5 => -3 2
-3 -5 -3 => -15 2
-3 -5 -3 => -5 2
-3 -5 -3 -5 => -8 2
-8 -5 -3 => -5 2
-8 -5 -3 -5 => -3 2
-1 -5 => -20 8
-1 -5 => -3 12
-17 -1 -5 => -20 4
-12 => -5 8
-12 -5 => 0 8
-8 -20 => -24 8
-8 -20 => -5 2
-8 -20 => -3 2
-8 -20 -5 => -3 2
-8 -20 -5 -3 => -8 2
-5 -3 => -5 18
-5 -3 => -20 2
-5 -3 => -8 2
-5 -3 => -15 2
-15 -5 -3 => -20 2
-8 -5 -3 -5 -3 => -15 2
-15 -10 => -3 2
-15 -10 => -15 2
-15 -10 -3 => -15 2
-10 -3 => -27 4
-10 -3 => -8 4
-10 -3 => -25 4
-10 -3 => -15 2
-27 => -3 4
-27 => -8 4
-27 -3 => -23 4
-25 -3 => -23 4
-20 -3 => -8 8
-20 -3 => -20 4
-15 -3 => -15 4
-8 -3 => -23 4
-8 -3 => -20 2
-1 -10 => -17 5
-5 -10 => -3 12
-3 -25 => -3 4
-23 => -8 8
-23 => -20 4
-8 -3 -23 => -20 4
-23 -8 => -20 8
-20 -8 => -3 2
-20 -8 => -20 2
-24 -8 => -12 8
-5 -3 -8 => -5 2
-3 -8 => -5 2
-3 -8 => -27 4
-3 -8 => -17 4
-3 -8 => -3 4
-10 -3 -8 => -3 4
-27 -8 => -1 4
-5 -8 => -20 2
-17 -20 => -22 8
-1 -20 => -8 2
-5 -20 => -22 6
-5 -20 => -3 8
-3 -5 -20 => -22 6
-5 -3 -20 => -5 2
-8 -3 -20 => -8 2
0 => -20 14
0 => -22 2
0 -20 => -1 14
-20 -8 -20 => -5 2
-5 -8 -20 => -3 2
-23 -20 => -24 4
-25 -24 => 0 2
-22 => -24 4
-22 => -25 9
-22 => -1 2
-22 -24 => -1 4
-8 -20 -24 => -8 8
-23 -20 -24 => 0 4
-15 0 => -22 2
0 -22 => -1 2
-8 -27 => -8 4
-3 -27 => -3 4
-10 -15 => -5 2
-1 -15 => -10 2
-25 -15 => -3 2
-5 -3 -15 => 0 2
-15 -3 -15 => -1 2
-15 -3 -15 => -3 2
