0 => -1 6
0 => 2 5
0 => -5 5
0 => -3 4
4 => 5 2
4 => 0 2
4 0 => -5 2
-24 => 0 5
-24 0 => -1 5
2 => 0 3
2 => 4 2
2 0 => -5 3
-5 => -3 12
-5 => -7 5
-5 => 0 3
-5 => -8 11
-5 => -1 12
-5 => -6 6
-5 => -10 2
-5 0 => 2 3
-1 => -3 14
-1 => 0 6
-1 => -5 8
-1 0 => 2 2
-1 0 => -3 4
-5 -1 => 0 4
-5 -1 => -5 8
-7 => -8 5
-7 => -5 8
-7 => -3 4
-7 => -10 4
-7 -5 => -3 4
-7 -5 => -1 4
-7 -5 -1 => 0 4
0 -1 => -3 6
-3 => -1 10
-3 => -5 15
-3 => -8 2
-3 => -7 5
-3 => -24 2
0 -3 => -5 4
0 -1 -3 => -1 6
-3 -1 => -3 8
-3 -1 => 0 2
-3 -1 -3 => -5 8
-6 => -5 8
-6 => -8 6
-6 -5 => -3 2
-6 -5 => -1 6
-6 -5 -3 => -8 2
-7 -5 -3 => -1 4
-7 -3 => -7 4
-8 => -10 5
-8 => -5 5
-8 => -7 8
-8 => -12 4
-8 => -6 8
-8 => -11 2
-8 => -24 1
-8 -5 => 0 3
-8 -5 => -8 2
0 -5 => -8 5
-3 -5 => -7 5
-3 -5 => -8 4
-3 -5 => -3 6
0 -3 -5 => -8 4
-5 -3 => -1 4
-5 -3 => -5 3
-5 -3 => -24 2
-5 -3 => -8 2
-5 -3 => -7 1
-5 -3 -5 => -7 3
-1 -5 => -10 2
-1 -5 => -6 6
-10 => -12 3
-10 => -8 5
-10 => -7 4
-10 => -15 4
-10 => -5 2
-10 => -17 2
-10 -5 => -1 2
-10 -7 => -3 4
-3 -7 => -10 4
-8 -7 => -5 8
-5 -7 => -8 5
-7 -8 => -10 5
-12 => -10 3
-12 => -8 4
-12 => -17 2
-12 => -24 1
-12 -8 => -5 2
-12 -8 => -7 1
-12 -8 => -6 1
-6 -8 => -6 6
-10 -8 => -5 3
-10 -8 => -7 2
-3 -8 => -11 2
-5 -8 => -7 5
-5 -8 => -6 1
-5 -8 => -24 1
-5 -8 => -12 4
-5 -10 => -17 2
-7 -10 => -15 4
-17 => -12 3
-17 => -15 2
-17 => -10 2
-17 => -24 1
-17 -10 => -5 2
-15 => -17 4
-15 => -10 4
-15 -10 => -7 4
-12 -10 => -8 3
-8 -10 => -12 3
-8 -10 => -8 2
-10 -12 => -10 3
-17 -12 => -8 2
-17 -12 => -24 1
-5 -6 => -8 6
-8 -6 => -5 8
-11 => -15 2
-12 -17 => -15 2
-10 -15 => -17 2
-10 -15 => -10 2
-10 -15 -17 => -10 2
5 => 4 2
