-3 => -7 65
-3 => 0 3
0 => -2 3
0 => -1 4
0 => -5 2
0 => 4 2
0 => -4 2
0 => -3 3
0 -3 => -7 1
0 -3 => 0 2
0 -1 => -3 1
0 -1 => 0 3
0 -1 -3 => 0 1
-7 => -3 59
-7 => -1 6
-1 => 0 9
-1 => -3 4
-2 => -1 3
-2 -1 => -3 3
4 => 0 2
4 0 => -4 2
-4 => 0 1
-4 0 => -3 1
-5 => -3 1
-5 => 0 1
-5 0 => -3 1
-7 -1 => 0 5
-7 -1 0 => -2 3
-7 -1 0 => -1 2
0 -1 0 => 4 2
0 -1 0 => -5 1
