-34 => -33 3
-34 => -24 2
-34 => -36 6
-34 => -29 4
-36 => -27 2
-36 => -34 2
-36 => -32 4
-36 => -31 4
-36 => -41 2
-36 => -24 1
-36 => -37 1
-36 -34 => -33 2
-32 => -31 6
-32 => -34 8
-32 => -29 6
-32 -34 => -36 6
-32 -34 => -24 2
-37 => -34 4
-37 => -39 1
-37 -34 => -29 4
-33 => -32 3
-31 => -30 3
-31 => -29 14
-31 => -32 10
-31 -32 => -34 8
-31 -32 => -29 2
-36 -32 => -29 4
-24 => -29 3
-24 => -27 2
-24 => -32 2
-24 => -23 2
-24 => -20 2
-24 => -36 4
-24 => -25 3
-24 -32 => -31 2
-33 -32 => -31 3
-32 -31 => -29 3
-32 -31 => -30 3
-36 -31 => -29 4
-27 => -25 5
-27 => -32 1
-27 => -29 7
-27 => -31 4
-27 -31 => -29 4
-29 => -41 12
-29 => -27 5
-29 => -23 3
-29 => -22 3
-29 => -28 5
-29 => -24 5
-29 => -31 9
-29 => -36 3
-29 => -25 2
-29 -31 => -32 9
-30 => -29 3
-34 -29 => -25 2
-34 -29 => -41 1
-34 -29 => -36 1
-27 -29 => -31 7
-22 => -24 5
-22 => -31 3
-22 => -29 4
-22 -29 => -28 2
-22 -29 => -41 2
-30 -29 => -41 3
-41 => -29 3
-41 => -36 6
-41 => -37 2
-41 => -24 1
-41 => -31 1
-41 -29 => -27 3
-32 -29 => -31 2
-32 -29 => -24 4
-24 -29 => -23 3
-23 => -29 3
-23 => -22 2
-23 -29 => -22 3
-32 -31 -29 => -24 1
-32 -31 -29 => -27 2
-31 -29 => -36 2
-31 -29 => -27 2
-31 -29 => -28 3
-31 -29 => -41 6
-31 -29 => -24 1
-22 -31 => -29 3
-22 -31 -29 => -28 3
-30 -29 -41 => -29 3
-39 => -41 1
-39 -41 => -31 1
-36 -41 => -37 2
-36 -27 => -29 2
-28 => -27 5
-28 -27 => -32 1
-28 -27 => -31 4
-29 -27 => -25 5
-24 -27 => -29 2
-25 => -22 5
-25 => -24 2
-25 => -27 3
-25 -27 => -29 3
-24 -25 => -27 3
-23 -22 => -29 2
-29 -22 => -31 3
-20 => -17 2
-20 => -22 2
-20 -22 => -24 2
-41 -24 => -27 1
-29 -24 => -36 2
-29 -24 => -20 2
-29 -24 => -27 1
-22 -24 => -29 3
-22 -24 => -25 2
-34 -24 => -32 2
-36 -24 => -25 1
-17 => -24 2
-17 -24 => -36 2
-25 -24 => -23 2
-24 -23 => -22 2
-41 -36 => -27 2
-41 -36 => -32 2
-41 -36 => -37 1
-34 -36 => -31 4
-34 -36 => -34 2
-24 -36 => -41 2
-29 -36 => -32 2
-29 -36 => -24 1
-36 -37 => -39 1
