-12 => -15 28
-12 => -9 1
-9 => -18 35
-9 => -12 2
-9 => -24 5
-9 => -15 1
-9 => -14 2
-9 => -22 1
-9 -12 => -9 1
-9 -12 => -15 1
-15 => -19 2
-15 => -18 4
-15 => -12 12
-15 => -14 12
-9 -15 => -18 1
-24 => -18 15
-24 => -12 11
-24 => -9 7
-24 -12 => -15 11
-24 -12 -15 => -12 11
-18 => -22 3
-18 => -9 29
-18 => -24 16
-18 => -12 3
-18 => -19 3
-18 => -14 10
-18 -12 => -15 3
-18 -12 -15 => -18 3
-15 -12 => -15 12
-15 -12 -15 => -14 12
-22 => -18 3
-22 => -15 1
-22 -15 => -19 1
-19 => -9 5
-12 -9 => -15 1
-15 -18 => -19 3
-15 -18 => -9 1
-15 -18 -9 => -24 1
-24 -9 => -24 4
-24 -9 => -12 2
-24 -9 => -18 1
-24 -18 => -14 3
-24 -18 => -24 9
-24 -18 => -12 3
-19 -9 => -18 5
-19 -9 -18 => -22 1
-19 -9 -18 => -24 3
-19 -9 -18 => -14 1
-22 -18 => -22 2
-22 -18 => -9 1
-14 => -18 7
-14 => -9 5
-14 => -24 12
-14 -18 => -9 4
-14 -18 => -14 3
-18 -24 => -18 15
-18 -24 => -12 1
-14 -24 => -12 10
-14 -24 => -9 2
-9 -24 => -9 5
-18 -14 => -18 7
-18 -14 => -9 3
-14 -18 -14 => -9 3
-15 -14 => -24 12
-9 -14 => -9 2
