-12| -17|-12 0.08
-12| -24|-12 0.32
-12| -10|-12 0.08
-12| -8|-12 0.12
-12| -5|-12 0.12
-12| -7|-12 0.08
-12| -15|-12 0.12
-12| -19|-12 0.08
-17|-12 -12|-17.-12 0.13333333333333333
-17|-12 -8|-17.-12 0.13333333333333333
-17|-12 -14|-17.-12 0.13333333333333333
-17|-12 -5|-17 0.13333333333333333
-17|-12 -10|-17 0.2
-17|-12 -15|-17 0.13333333333333333
-17|-12 -24|-17 0.13333333333333333
-24|-12 -12|-24 0.4
-24|-12 -12|-8 0.15
-24|-12 -12|-5 0.15
-24|-12 -10|-24 0.15
-24|-12 -15|-24 0.1
-24|-12 -8|-24 0.05
-10|-12 -12|-17 0.3333333333333333
-10|-12 -17|-10 0.3333333333333333
-10|-12 -12|-17.-12 0.3333333333333333
-8|-12 -12|-24 0.3
-8|-12 -12|-14 0.1
-8|-12 -12|-5 0.1
-8|-12 -5|-8.-12 0.15
-8|-12 -24|-8 0.15
-8|-12 -17|-8 0.2
-5|-12 -12|-8 0.2
-5|-12 -12|-17 0.3
-5|-12 -17|-5.-12 0.3
-5|-12 -12|-5 0.2
-7|-12 -12|-19 0.5
-7|-12 -19|-7 0.5
-15|-12 -12|-15 0.3333333333333333
-15|-12 -12|-7 0.2222222222222222
-15|-12 -19|-15 0.2222222222222222
-15|-12 -7|-15 0.1111111111111111
-15|-12 -17|-15 0.1111111111111111
-19|-12 -12|-15 0.16666666666666666
-19|-12 -12|-19 0.16666666666666666
-19|-12 -12|-3 0.16666666666666666
-19|-12 -14|-19.-12 0.16666666666666666
-19|-12 -7|-19 0.16666666666666666
-19|-12 -12|-15.-19.-7 0.16666666666666666
-12|-17.-12 -17|-12.-5 1.0
-5|-17 -13| 0.3333333333333333
-5|-17 -15|-5 0.14285714285714285
-5|-17 -10|-5 0.09523809523809523
-5|-17 -17|-10 0.19047619047619047
-5|-17 -17|-12.-15 0.09523809523809523
-5|-17 -17|-5.-12 0.14285714285714285
-10|-17 -24|-10.-17 0.14285714285714285
-10|-17 -17|-10.-17 0.14285714285714285
-10|-17 -5|-10 0.07142857142857142
-10|-17 -17|-10 0.14285714285714285
-10|-17 -17|-12.-17 0.14285714285714285
-10|-17 -17|-12.-15 0.07142857142857142
-10|-17 -17|-5.-14 0.14285714285714285
-10|-17 -17|-10.-7 0.14285714285714285
-15|-17 -10|-15.-17 0.2
-15|-17 -17|-10 0.2
-15|-17 -17|-10.-13 0.2
-15|-17 -17|-12.-15 0.2
-15|-17 -17|-5.-15 0.2
-24|-17 -12|-24.-17 0.3333333333333333
-24|-17 -17|-13 0.3333333333333333
-24|-17 -17|-12.-8 0.3333333333333333
-12|-24 -24|-5 1.0
-12|-8 -17|-12.-8 0.2857142857142857
-12|-8 -8|-17 0.7142857142857143
-12|-5 -17|-12.-5 0.2857142857142857
-12|-5 -5|-22 0.2857142857142857
-12|-5 -5|-8.-10 0.42857142857142855
-10|-24 -24|-13 0.2
-10|-24 -7|-10.-24 0.2
