-5 => -24 14
-5 => -17 7
-5 => 7 6
-5 => 5 3
-5 => -22 16
-5 => -29 8
-5 => -18 1
-5 => -14 1
-5 => -10 1
-5 => -3 1
-5 => 2 1
-5 => 19 1
4 => -5 5
4 => -25 1
4 => 3 1
4 => 0 1
4 => -15 4
4 => 24 1
4 => -20 1
4 => -7 5
4 => 12 2
4 => -13 1
4 => -21 1
4 => -3 1
4 => -10 1
4 => 19 2
4 => -17 2
4 => 7 1
4 => -8 1
4 => -18 1
4 -5 => -24 2
4 -5 => -18 1
4 -5 => 7 2
0 => -5 8
0 => -12 1
0 => -22 2
0 => -3 1
0 => -19 1
0 => 2 1
0 => -15 1
0 => 19 1
0 => -8 1
0 => 9 1
0 => 7 2
0 -5 => -24 4
0 -5 => -22 4
-24 => 7 19
-24 => 0 2
-24 => 2 3
-24 => -5 4
-24 => 4 6
-24 => -22 3
-24 => 5 4
-24 => 9 2
-24 => 8 1
-24 => -15 1
-24 => -13 1
-24 => 23 1
-24 => -3 1
-24 => -11 1
-24 -5 => 7 4
-20 => -5 6
-20 => 4 4
-20 => -24 1
-20 => 0 2
-20 -5 => -17 6
2 => 7 2
2 => -5 8
2 => -17 2
2 => 12 1
2 => 0 1
2 => -13 1
2 => -8 3
2 => -18 1
2 => 19 1
2 -5 => -22 8
7 => -22 13
7 => -12 8
7 => -17 13
7 => -5 6
7 => -29 14
7 => -11 2
7 => -24 14
7 => -10 2
7 => 0 1
7 => -1 3
7 => -25 4
7 => 16 1
7 => 11 1
7 => 12 1
7 => -15 1
7 => 28 1
7 => 5 2
7 => -13 4
7 => -18 2
7 -5 => -24 4
7 -5 => 5 2
-29 => -18 2
-29 => -17 2
-29 => -22 10
-29 => -24 6
-29 => -5 2
-29 -5 => -29 2
-18 => -25 2
-18 => 7 4
-18 => -17 1
-18 => 9 3
-18 => -3 2
-18 => -5 2
-18 => -15 1
-18 => -24 1
-18 => 4 2
-18 => 21 1
-18 -5 => -3 1
-18 -5 => 19 1
-22 => -20 10
-22 => -14 2
-22 => -17 2
-22 => -25 12
-22 => 7 17
-22 => -5 1
-22 => -11 2
-22 => -7 1
-22 => 12 2
-22 => 2 2
-22 => 8 1
-22 => -10 2
-22 => 4 2
-22 => -15 1
-22 => -18 1
-22 -5 => -14 1
-17 => 7 15
-17 => -24 3
-17 => -10 4
-17 => -5 8
-17 => -18 3
-17 => -11 3
-17 => 14 1
-17 => -15 1
-17 => 12 1
-17 => -12 1
-17 => -22 2
-17 => 4 2
-17 => 2 1
-17 => 0 1
-17 -5 => -17 1
-17 -5 => -29 4
-17 -5 => -22 2
-17 -5 => 2 1
-25 => 2 8
-25 => 0 4
-25 => -5 2
-25 => -10 1
-25 => -17 1
-25 => -24 3
-25 => -11 1
-25 -5 => -22 2
-10 => -5 3
-10 => 7 2
-10 => -22 2
-10 => -7 2
-10 => 5 1
-10 => -19 1
-10 => -17 3
-10 => 9 1
-10 => 0 1
-10 -5 => -29 2
-10 -5 => -10 1
29 => -5 1
29 -5 => 5 1
-11 => 7 5
-11 => -5 3
-11 => 16 2
-11 => 5 3
-11 => -8 1
-11 => 14 1
-11 => 12 2
-11 => -22 1
-11 => 4 2
-11 => -15 1
-11 -5 => -24 3
-17 -24 => 7 2
-17 -24 => -15 1
3 => -24 1
3 => -21 1
3 -24 => 2 1
-29 -24 => -5 4
-29 -24 => 7 2
-15 => -11 4
-15 => -12 1
-15 => 9 3
-15 => -3 2
-15 => -17 2
-15 => 4 2
-15 => -24 1
-15 => -22 1
-15 => -10 1
-15 -24 => -3 1
-12 => -24 2
-12 => -11 3
-12 => 0 2
-12 => -17 1
-12 => -10 1
-12 => 7 2
-12 -24 => 0 2
9 => -13 2
9 => -22 1
9 => -3 3
9 => -18 3
9 => 29 1
9 => -24 1
9 => -15 4
9 => -27 1
9 => 1 1
9 -24 => 4 1
-5 -24 => 5 4
-5 -24 => 7 8
-5 -24 => 2 2
7 -5 -24 => 5 4
7 -24 => 7 6
7 -24 => 4 4
7 -24 => -22 3
7 -24 => -11 1
-22 7 => -24 3
-22 7 => -29 2
-22 7 => -18 1
-22 7 => -17 5
-22 7 => -12 2
-22 7 => -1 1
-22 7 => -13 1
-22 7 => -5 1
-22 7 => 12 1
-22 7 -24 => 4 3
-19 => -17 2
-19 => -7 1
-19 => -22 1
-19 => -15 1
-19 => -11 1
-19 => -24 1
-19 -24 => 4 1
-18 -24 => 23 1
-13 => 5 2
-13 => -24 1
-13 => 9 2
-13 => -22 1
-13 => 7 4
-13 -24 => 9 1
-25 -24 => -13 1
-25 -24 => 7 1
-25 -24 => 9 1
-20 -24 => 8 1
-13 7 => -18 1
-13 7 => -25 2
-13 7 => -22 1
-18 7 => -24 3
-18 7 => -13 1
16 => 7 1
16 => -15 1
16 => -22 1
16 7 => 16 1
-1 => 7 2
-1 => -8 1
-1 7 => -25 2
-5 7 => -22 2
-5 7 => -29 2
-5 7 => -17 2
-10 7 => 0 1
-10 7 => -1 1
-12 7 => -24 2
-14 => 7 2
-14 7 => -1 1
-14 7 => -17 1
0 7 => -12 2
-17 7 => -12 4
-17 7 => -17 5
-17 7 => -11 2
-17 7 => -5 3
-17 7 => 11 1
14 => -10 1
14 => -17 2
14 -17 => 7 1
14 -17 => 14 1
14 -17 7 => 11 1
7 -17 => -24 2
7 -17 => 7 3
7 -17 => -5 6
7 -17 => -10 1
7 -17 => -11 1
7 -17 7 => -5 3
-5 -17 => 7 5
-5 -17 => -18 2
-5 -17 7 => -12 4
-5 -17 7 => -11 1
5 => 7 9
5 => 14 1
5 => 2 1
5 => -11 1
5 => -3 1
5 => 4 1
5 => -22 1
5 => -10 1
5 => -19 1
5 => -13 1
5 => -25 1
5 7 => -29 8
5 7 => 28 1
-11 7 => -22 1
-11 7 => -5 1
-11 7 => -15 1
-11 7 => 5 1
-11 7 => -13 1
2 7 => -22 2
-25 -24 7 => -13 1
-17 -24 7 => -5 1
-17 -24 7 => 5 1
7 -24 7 => -24 4
7 -24 7 => -10 2
-29 -24 7 => -29 2
-24 7 => -24 6
-24 7 => -22 6
-24 7 => -29 2
-24 7 => -10 2
-24 7 => -5 1
-24 7 => 5 1
-24 7 => -13 1
-17 -22 => 7 2
-17 -22 7 => -12 1
-17 -22 7 => -1 1
0 -5 -22 => 7 4
0 -5 -22 7 => -24 3
0 -5 -22 7 => -12 1
7 -22 => -25 2
7 -22 => -20 8
7 -22 => -18 1
7 -22 => 7 2
7 -22 7 => -13 1
7 -22 7 => -18 1
16 -22 => 7 1
16 -22 7 => 12 1
4 7 => -22 1
-19 -22 => 12 1
-7 => -19 2
-7 => 5 2
-7 => 12 2
-7 => 0 1
-7 => -3 1
-7 => 3 1
-7 => 4 2
-7 => -22 2
-7 -22 => 4 1
-7 -22 => 12 1
-5 -22 => 7 12
-5 -22 => -17 2
-5 -22 => -14 2
-17 -5 -22 => -17 2
-11 7 -22 => -18 1
-5 7 -22 => -25 2
-13 -22 => 2 1
-11 -22 => -10 1
-29 -22 => -25 10
-24 -22 => -5 1
-24 -22 => -20 2
0 -22 => -7 1
0 -22 => 8 1
-15 -22 => -15 1
9 -22 => 2 1
-10 -22 => -11 1
-10 -22 => -10 1
5 -22 => -11 1
28 => -22 1
28 -22 => 4 1
-8 => -10 1
-8 => 4 2
-8 => -20 1
-8 => 0 1
-8 => 23 1
-8 => -18 1
-8 => -17 1
-8 => -16 1
-8 => -3 1
-8 -20 => -24 1
23 => -20 1
23 => -8 1
23 -20 => 0 1
4 -20 => 0 1
-19 -17 => -18 1
-19 -17 => 0 1
-18 -17 => -10 1
-12 -17 => 12 1
-22 -17 => 7 2
-25 -17 => -5 1
19 => -17 3
19 => 4 1
19 => -19 1
19 -17 => 4 1
19 -17 => 2 1
19 -17 => -24 1
12 => -11 1
12 => -17 1
12 => -7 4
12 => 0 2
12 => 2 1
12 => 4 3
12 => 5 1
12 -17 => -15 1
-14 7 -17 => -10 1
4 -17 => 7 2
-29 -17 => 7 2
-8 -17 => -22 1
-15 -17 => -5 1
-15 -17 => -12 1
2 -17 => -11 2
-10 -17 => -22 1
-10 -17 => -10 1
-10 -17 => 4 1
-15 -12 => -17 1
-22 7 -12 => 7 2
-17 7 -12 => 0 2
-17 7 -12 => -24 2
-17 -12 => -10 1
4 0 => -15 1
-8 0 => -22 1
-24 0 => -5 2
-20 0 => 19 1
-20 0 => -8 1
2 0 => 2 1
-10 0 => 7 1
-12 0 => -5 2
-25 0 => -5 4
12 0 => -3 1
12 0 => -19 1
-17 0 => 7 1
-7 0 => -22 1
-16 => 0 1
-16 0 => 9 1
7 0 => -12 1
0 2 => -13 1
-24 2 => 7 2
-24 2 => 12 1
-22 2 => -8 2
-5 2 => -17 1
8 => -8 1
8 => 2 2
8 2 => -18 1
8 2 => -8 1
-25 2 => -5 8
12 2 => 0 1
5 2 => -17 1
-17 2 => 19 1
-11 4 => -8 1
-11 4 => -18 1
-24 4 => 7 1
-24 4 => -13 1
-24 4 => -5 3
-24 4 => -7 1
-3 => -19 1
-3 => 12 2
-3 => 4 2
-3 => -18 3
-3 => -27 3
-3 => 9 3
-3 4 => -15 1
-3 4 => 0 1
-22 4 => -7 1
-22 4 => 24 1
12 4 => -7 2
12 4 => 12 1
-17 4 => 19 2
-18 4 => -15 2
-7 4 => -7 1
-7 4 => 12 1
-20 4 => -5 2
-20 4 => -17 2
5 4 => -25 1
24 => 4 1
24 4 => -20 1
-15 4 => -15 1
-15 4 => -3 1
19 4 => -10 1
-8 4 => 3 1
-8 4 => -21 1
17 => 5 1
17 5 => -11 1
-11 5 => -10 1
-11 5 => 14 1
-11 5 => -22 1
-7 5 => -19 1
-7 5 => -3 1
-24 5 => 7 4
12 5 => -13 1
-13 5 => -25 1
-13 5 => 4 1
-5 5 => 7 3
-10 5 => 2 1
7 -29 => -22 10
