-1 => 5 1
5 => -5 2
5 => 4 1
5 => 2 1
-5 => 4 1
-5 => 5 1
-5 => -17 1
4 => 7 1
4 => 0 1
7 => -12 1
7 => 9 1
7 => 10 1
-12 => 10 1
-12 => 0 1
10 => -12 1
10 => 2 1
10 => 0 1
0 => -9 1
0 => 7 1
-9 => 10 1
2 => 5 1
2 => -5 1
2 => -17 1
9 => 2 1
-17 => 5 1
