-12| -17| 0.2727272727272727
-12| -13| 0.18181818181818182
-12| -10| 0.36363636363636365
-12| -8| 0.09090909090909091
-12| -11| 0.09090909090909091
-17| -15| 0.06666666666666667
-17| -14| 0.2
-17| -8| 0.06666666666666667
-17| -13|-17 0.13333333333333333
-17| -13| 0.4
-17| -12|-8 0.06666666666666667
-17| -13|-10 0.06666666666666667
-13| -10| 0.16666666666666666
-13| -15| 0.3333333333333333
-13| -12|-13 0.16666666666666666
-13| -14| 0.25
-13| -12|-10 0.08333333333333333
-10| -9| 0.2222222222222222
-10| -12|-10 0.1111111111111111
-10| -13|-10 0.2222222222222222
-10| -12|-7 0.2222222222222222
-10| -12|-13 0.2222222222222222
-8| -7| 0.3333333333333333
-8| -12|-8 0.16666666666666666
-8| -9| 0.3333333333333333
-8| -12|-13 0.16666666666666666
-11| -15| 0.5
-11| -12|-8 0.5
-15| -17|-12.-13 1.0
-13|-17 -12|-13 1.0
-13|-10 -15| 1.0
-12|-13 -17|-12.-13 1.0
-7| -12|-7 1.0
