-31| -25| 0.023809523809485717
-31| -28| 0.11904761904792857
-31| -10| 0.3333333333328
-31| -33| 0.09523809523804287
-31| -12| 0.26190476190484285
-31| -22| 0.1666666666669
-25| -31|-25 1.0
-28| -31|-25 0.3821656050954927
-28| -31|-33 0.2547770700637892
-28| -12| 0.07643312101909853
-28| -31|-28 0.2866242038216195
-10| -12|-31.-28 0.33484848484843055
-10| -31|-10 0.2318181818182473
-10| -31|-22 0.33484848484843055
-10| -12| 0.09848484848489161
-33| -31|-33 0.4400564174897187
-33| -31|-10 0.10155148095901352
-33| -31|-28 0.16502115655856198
-33| -22| 0.2933709449927057
-12| -31|-12 1.0
-22| -31|-33 0.10077519379866054
-22| -31|-10 0.09302325581386911
-22| -31|-12 0.20155038759671642
-22| -31|-22 0.6046511627907539
-12|-31.-28 -31|-28 1.0
