-6 => 3 232
3 => 11 161
3 => -5 81
3 => -6 73
3 => 21 10
-5 => 3 85
-5 => -6 38
-5 => 11 10
-5 => 21 3
-5 3 => -6 36
-5 3 => 11 48
11 => -6 114
11 => -5 51
11 => 3 6
11 -5 => -6 38
11 -5 => 3 13
11 -5 3 => -6 13
11 3 => -6 6
21 => 3 3
21 => -6 6
21 => -5 4
21 -6 => 3 6
21 -6 3 => -5 6
11 -6 => 3 114
11 -6 3 => -5 73
11 -6 3 => 11 41
3 -5 => 3 68
3 -5 => 11 10
3 -5 => 21 3
3 -5 3 => 11 48
3 -5 3 => -6 20
3 -5 3 -6 => 3 20
3 -5 3 -6 3 => -6 20
21 -5 => 3 4
21 -5 3 => -6 3
21 -5 3 -6 => 3 3
21 -5 3 -6 3 => 21 3
21 3 => -6 3
21 3 -6 => 3 3
21 3 -6 3 => 21 3
-5 11 => 3 6
-5 11 => -6 4
-5 3 11 => -6 48
11 -6 3 11 => -5 37
11 -6 3 11 => -6 4
-5 11 -6 => 3 4
-5 11 -6 3 => 11 4
-5 11 -6 3 11 => -6 4
3 -6 => 3 73
3 -6 3 => -6 20
3 -6 3 => 11 41
3 -6 3 => -5 2
3 -6 3 => 21 10
3 -6 3 -5 => 21 2
-5 3 11 -6 => 3 48
-5 3 11 -6 3 => 11 37
-5 3 11 -6 3 => -5 11
-5 3 11 -6 3 -5 => 11 10
-5 3 11 -6 3 -5 => 21 1
-5 21 => 3 3
