-41 => -37 37
-41 => -29 1
-27 => -41 1
-27 -41 => -29 1
-37 => -36 37
-36 => -34 36
-36 => -24 2
-36 => -35 1
-24 => -19 1
-24 => -27 1
-24 => -36 2
-24 => -26 2
-24 -36 => -24 2
-34 => -32 37
-34 => -22 3
-31 => -30 36
-31 => -38 3
-31 => -43 3
-31 => -34 2
-31 => -32 5
-31 => -29 1
-31 -34 => -22 2
-22 => -34 1
-22 => -24 1
-22 => -29 2
-22 -34 => -22 1
-32 => -31 42
-31 -32 => -31 5
-31 -32 -31 => -32 4
-31 -32 -31 => -29 1
-43 => -31 3
-43 => -29 3
-43 -31 => -38 3
-38 => -29 3
-38 => -31 3
-38 -31 => -43 3
-19 => -22 1
-19 => -31 2
-19 -31 => -34 2
-30 => -29 32
-30 => -24 3
-29 => -41 36
-29 => -43 3
-29 => -38 3
-29 => -19 2
-26 => -29 2
-26 -29 => -19 2
-22 -29 => -43 2
-41 -29 => -43 1
-38 -29 => -38 3
-22 -24 => -27 1
-36 -24 => -26 2
-35 => -34 1
