-24 => -5 1
-24 => -20 1
-5 => 1 3
-5 => 13 1
-5 => -20 1
-5 => -1 1
13 => -20 146
13 => -1 8
13 => 1 1
13 => -5 1
13 -5 => -1 1
1 => -20 55
1 => 13 16
-20 => 13 119
-20 => 1 66
-20 => -1 55
-20 => -5 4
-20 => -24 1
1 -20 => 13 43
1 -20 => 1 11
1 -20 => -1 1
-24 -20 => 1 1
-24 -20 1 => 13 1
-24 -20 1 13 => -20 1
-24 -20 1 13 -20 => -5 1
-1 => -20 42
-1 => 13 20
-1 => 1 1
-1 -20 => -1 5
-1 -20 => 13 37
