-14 => -22 58
-14 => -11 17
-14 => -24 45
-22 => -14 58
-22 -14 => -11 3
-22 -14 => -22 54
-11 => -24 5
-11 => -14 15
-11 -24 => -14 2
-11 -24 => -11 3
-11 -24 -14 => -11 2
-24 => -11 4
-24 => -14 46
-24 -14 => -24 36
-24 -14 => -11 8
-24 -14 => -22 1
-11 -14 => -24 9
-11 -14 => -11 5
-11 -14 => -22 1
-22 -14 -11 => -24 3
