-24| -20| 0.29411764705882354
-24| -31| 0.11764705882352941
-24| -28|-24 0.058823529411764705
-24| -17|-24 0.058823529411764705
-24| -28| 0.058823529411764705
-24| -17| 0.4117647058823529
-20| -31| 0.16666666666666666
-20| -17| 0.5
-20| -28| 0.16666666666666666
-20| -28|-24 0.16666666666666666
-31| -28| 0.45454545454545453
-31| -18| 0.18181818181818182
-31| -25| 0.09090909090909091
-31| -17| 0.18181818181818182
-31| -28|-24 0.09090909090909091
-17|-24 -28| 1.0
-28| -25| 0.5
-28| -21| 0.5
-17| -25| 0.6
-17| -28| 0.2
-17| -31|-25 0.2
-18| -21| 0.5
-18| -28|-18 0.5
-25| -31|-25 0.25
-25| -21| 0.25
-25| -31|-21 0.25
-25| -28|-21 0.25
-21| -31|-21 0.3333333333333333
-21| -28|-21 0.3333333333333333
-21| -28|-18 0.3333333333333333
