3 => -14 49
3 => 0 15
3 => -9 2
3 => -12 7
-14 => 3 65
-14 => 2 12
-9 => 0 17
-9 0 => -12 3
-9 0 => -9 10
-9 0 => -14 4
-9 0 -12 => 0 3
-9 0 -12 0 => -14 3
-9 0 -12 0 -14 => 2 3
2 => -14 12
2 => 3 2
2 -14 => 2 9
2 -14 => 3 3
0 => -12 51
0 => -14 16
0 => -9 15
0 => 3 6
0 => 2 2
-12 => 0 58
-12 0 => -12 39
-12 0 => -14 12
-12 0 => -9 3
-12 0 => 2 1
-12 0 => 3 3
-12 0 -9 => 0 3
-12 0 -9 0 => -12 3
3 -12 => 0 7
3 -12 0 => -12 7
3 -12 0 -12 => 0 7
3 -12 0 -12 0 => -12 7
3 -12 0 -12 0 -12 => 0 7
3 -12 0 -12 0 -12 0 => -14 7
