7 => 5 8
7 => 2 3
7 => -2 2
3 => 0 2
3 => 2 7
3 => 7 1
3 7 => -2 1
5 => 2 5
5 => 7 10
5 => 0 3
5 => 3 1
5 => -2 2
-2 => 5 6
-2 => 3 1
-2 => 2 10
-2 => -5 27
-2 => 0 3
-2 5 => 7 6
2 => 3 8
2 => -2 13
2 => 5 7
2 => 0 13
2 => -7 5
2 => -5 2
-2 2 => 0 2
-2 2 => -7 5
-2 2 => -2 2
-2 2 => 5 1
0 => 2 10
0 => -2 11
0 => -1 1
0 => -7 1
0 2 => 0 2
0 2 => -5 2
0 2 => 5 4
0 2 => -2 2
-2 0 => 2 2
-2 0 => -2 1
-2 0 2 => -5 2
7 2 => 3 3
-5 => -2 17
-5 => -7 9
-5 => 2 8
-5 => 0 2
-5 2 => -2 7
-5 2 => 0 1
5 2 => 0 2
5 2 => 3 2
5 2 => 5 1
-10 => 2 5
-10 2 => 0 5
-2 3 => 7 1
5 3 => 0 1
-5 2 0 => -7 1
5 0 => 2 2
5 0 => -1 1
5 -2 => 2 1
0 2 -2 => 5 2
3 2 => -2 2
3 2 => 3 3
3 2 => 0 1
3 2 => 5 1
3 2 -2 => 3 1
3 2 -2 => 5 1
2 -2 => 3 1
2 -2 => -5 9
2 -2 => 5 3
7 -2 => 2 1
7 -2 => 5 1
-5 -7 => -10 5
-5 -7 => -5 4
-5 -7 -5 => -2 2
-5 -7 -5 -2 => 0 2
-5 -2 => -5 10
-5 -2 => 2 5
-5 -2 => 0 2
-5 -2 -5 => -2 3
-5 -2 -5 => 2 7
2 -2 -5 => -7 7
2 -2 -5 => -2 1
-1 => -5 1
-1 -5 => 2 1
-7 => -5 10
-7 => -10 5
-7 -5 => -2 7
