0 => -5 66
0 => -24 38
0 => -28 16
0 => -21 16
0 => -26 10
2 => 0 117
2 => -24 3
2 => -36 25
2 -24 => 0 3
2 -24 0 => -24 1
2 -24 0 => -5 2
-24 => 3 78
-24 => 2 46
-24 => 0 28
-24 => -5 37
-24 0 => -24 26
-24 0 => -5 2
-21 => 2 22
-21 => -5 16
-21 2 => 0 22
-21 2 0 => -21 16
-21 2 0 => -5 6
-28 => 2 22
-28 => -5 16
-28 2 => 0 22
-28 2 0 => -28 16
-28 2 0 => -5 6
-26 => 2 16
-26 => -5 10
-26 => 3 2
-26 2 => 0 16
-26 2 0 => -5 6
-26 2 0 => -26 10
3 => 2 38
3 => -36 38
3 => -24 86
3 => -28 13
3 => -33 12
3 => -38 10
3 => -40 9
3 => -21 10
3 => -26 9
3 2 => 0 38
3 2 0 => -5 38
-24 2 => 0 18
-24 2 => -36 25
-24 2 => -24 3
-24 2 0 => -24 12
-24 2 0 => -5 6
-5 => 3 120
-5 => -36 25
2 0 => -5 63
2 0 => -24 12
2 0 => -28 16
2 0 => -26 10
2 0 => -21 16
2 0 -24 => -5 12
2 0 -24 -5 => 3 12
-24 -5 => -36 25
-24 -5 => 3 12
-5 3 => -28 10
-5 3 => 2 38
-5 3 => -33 12
-5 3 => -26 9
-5 3 => -36 13
-5 3 => -38 10
-5 3 => -40 9
-5 3 => -24 9
-5 3 => -21 10
-24 0 -5 => 3 2
-24 0 -5 3 => -38 1
-24 0 -5 3 => -24 1
-21 -5 => 3 16
-21 -5 3 => -36 8
-21 -5 3 => -21 8
-28 -5 => 3 16
-28 -5 3 => -28 8
-28 -5 3 => -33 8
-24 -5 3 => -38 5
-24 -5 3 => -24 6
-24 -5 3 => -26 1
-26 -5 => 3 10
-26 -5 3 => -40 5
-26 -5 3 => -26 5
-36 => -24 62
-36 => 3 25
-36 => 2 1
-36 3 => -36 23
-36 3 => -28 2
-24 3 => -24 77
-24 3 => -28 1
0 -24 => -5 37
0 -24 => 3 1
0 -24 3 => -28 1
-26 3 => -36 2
-36 -24 => 0 25
-36 -24 => 3 25
-36 -24 => 2 11
-36 -24 2 => -24 1
-36 -24 2 => 0 10
2 -36 => -24 25
3 -36 => -24 37
3 -36 => 2 1
-5 -36 => 3 25
3 -24 => 3 51
3 -24 => 2 35
-5 3 -24 => 2 9
2 -36 -24 => 0 25
-5 3 -36 => -24 12
-5 3 -36 => 2 1
-5 3 -36 -24 => 2 11
3 -36 -24 => 2 11
3 -36 -24 => 3 25
-40 => -28 9
-40 -28 => 2 9
3 -28 => 2 13
0 -28 => -5 16
-33 => -21 12
0 -21 => -5 16
3 -21 => 2 10
-33 -21 => 2 12
-38 => -26 10
3 -26 => 2 7
3 -26 => 3 2
0 -26 => -5 10
-38 -26 => 2 9
