-20| -15| 0.32608695652173914
-20| -19|-20 0.10869565217391304
-20| -17|-20 0.2391304347826087
-20| -29|-20 0.10869565217391304
-20| -19| 0.10869565217391304
-20| -19|-15 0.10869565217391304
-15| -12| 0.047619047619047616
-15| -19|-15 0.23809523809523808
-15| -13|-15 0.23809523809523808
-15| -20|-22 0.47619047619047616
-19|-20 -20|-17 0.38461538461538464
-19|-20 -20|-24 0.07692307692307693
-19|-20 -18| 0.38461538461538464
-19|-20 -17|-19 0.07692307692307693
-19|-20 -20|-24.-17 0.07692307692307693
-17|-20 -12|-17.-20 0.5
-17|-20 -13|-17 0.22727272727272727
-17|-20 -24|-17 0.22727272727272727
-17|-20 -19|-17 0.045454545454545456
-29|-20 -20|-17 0.5
-29|-20 -25|-29 0.5
-19| -18| 0.3125
-19| -17|-19 0.3125
-19| -15|-19 0.0625
-19| -22|-19 0.3125
-12| -24| 0.40384615384615385
-12| -17|-12 0.38461538461538464
-12| -13|-12 0.09615384615384616
-12| -7| 0.09615384615384616
-12| -15|-19 0.019230769230769232
-13|-15 -10|-13.-15 0.5
-13|-15 -15|-20.-21 0.5
-20|-22 -22|-19 0.5
-20|-22 -22|-13 0.5
-20|-17 -17|-20.-17 0.16666666666666666
-20|-17 -17|-12 0.6666666666666666
-20|-17 -17|-12.-24 0.16666666666666666
-20|-24 -17|-20.-24 1.0
-18| -17|-18 1.0
-17|-19 -12|-17.-19 0.5
-17|-19 -19|-29 0.5
-13|-17 -17|-10 0.3333333333333333
-13|-17 -10|-13.-17 0.3333333333333333
-13|-17 -12|-13 0.16666666666666666
-13|-17 -17|-20.-17 0.16666666666666666
-24|-17 -20|-24.-17 0.041666666666666664
-24|-17 -12|-24.-17 0.25
-24|-17 -17|-24 0.20833333333333334
-24|-17 -17|-19 0.041666666666666664
-24|-17 -17|-12 0.25
-24|-17 -17|-20.-17 0.20833333333333334
-19|-17 -15|-19 1.0
-17| -12| 0.45588235294117646
-17| -7| 0.07352941176470588
-17| -20|-17 0.07352941176470588
-17| -24|-17 0.08823529411764706
-17| -19|-17 0.014705882352941176
-17| -22|-17 0.14705882352941177
-17| -13|-17 0.14705882352941177
-7| -17|-24 1.0
-22|-17 -17|-12 0.1388888888888889
-22|-17 -17|-25 0.1388888888888889
-22|-17 -25|-22 0.2777777777777778
-22|-17 -17|-22 0.2777777777777778
-22|-17 -17|-12.-24 0.027777777777777776
-22|-17 -17|-12.-24.-17 0.027777777777777776
-22|-17 -17|-12.-17.-18 0.1111111111111111
-24| -20|-24 0.34375
-24| -17|-24 0.15625
-24| -12|-24 0.34375
-24| -12|-17.-22 0.15625
-17|-12 -12|-17.-20 1.0
-13|-12 -12|-10 0.5
-13|-12 -22|-13 0.5
-17|-24 -24|-17.-24 0.3333333333333333
-17|-24 -24|-17.-12.-24 0.3333333333333333
-17|-24 -24|-12.-17.-19 0.3333333333333333
-17|-12.-24 -24|-17.-12.-24 1.0
-12|-24.-17 -17|-12.-24.-17 0.5
-12|-24.-17 -24|-17.-24 0.5
-25|-22 -29|-25 0.25
-25|-22 -17|-25 0.25
-25|-22 -22|-17.-22 0.5
-17|-22 -12|-17.-22 0.25
-17|-22 -22|-17.-22 0.5
-17|-22 -22|-25 0.25
-17|-12.-24.-17 -24|-17.-12.-24 1.0
-17|-10 -10|-13.-17 1.0
-12|-13 -24|-12.-13 1.0
-21| -20|-21 0.3333333333333333
-21| -19| 0.3333333333333333
-21| -19|-15 0.3333333333333333
-20|-21 -15|-20.-21 1.0
-12|-24 -17|-12.-24 0.5
-12|-24 -24|-12.-13 0.5
-17|-20.-24 -12|-17.-20 1.0
-22| -20|-22 0.5
-22| -17|-22 0.25
-22| -25|-22 0.25
-22|-25 -25|-29 1.0
-29|-25 -19|-29 1.0
-17|-18 -12|-17.-18 1.0
-12|-17.-19 -24|-12.-17.-19 1.0
-12|-17.-18 -17|-12.-17.-18 1.0
-12|-10 -10|-8 1.0
-25| -17|-25 0.3333333333333333
-25| -22|-25 0.3333333333333333
-25| -29|-25 0.3333333333333333
-10| -8| 0.14285714285714285
-10| -17|-10 0.2857142857142857
-10| -12|-10 0.14285714285714285
-10| -13| 0.42857142857142855
-8| -10|-8 0.5
-8| -10|-13.-15 0.5
-13| -12|-13 0.5
-13| -22|-13 0.5
-29| -19|-29 0.5
-29| -25|-29 0.5
