-17 => -14 20
-17 => -12 4
-17 => -24 7
-17 => -19 2
-17 => -15 6
-17 => -22 3
-19 => -14 8
-19 => -17 12
-19 => -24 33
-19 -17 => -14 12
-17 -24 => -19 3
-17 -24 => -17 4
-17 -24 -17 => -12 2
-17 -24 -17 => -19 2
-24 => -17 15
-24 => -19 24
-24 -17 => -22 3
-24 -17 => -15 6
-24 -17 => -24 2
-24 -17 => -12 2
-24 -17 => -19 2
-14 => -19 21
-14 => -12 4
-14 => -24 2
-14 -24 => -17 2
-14 -24 -17 => -24 2
-14 -12 => -17 4
-14 -12 -17 => -12 2
-14 -12 -17 => -24 2
-22 => -17 3
-22 -17 => -24 3
-12 => -17 8
-12 => -15 6
-12 -17 => -24 2
-12 -17 => -12 2
-12 -17 => -14 4
-12 -17 -14 => -24 2
-12 -17 -14 => -12 2
-14 -19 => -17 12
-14 -19 => -14 8
-14 -19 => -24 1
-24 -19 => -24 24
-15 => -12 6
-15 => -19 6
-15 -12 => -15 6
-15 -19 => -24 6
-15 -19 -24 => -17 6
-24 -19 -24 => -19 21
-12 -15 => -19 6
-17 -15 => -12 6
