-24 => -25 7
-24 => -22 4
-24 => -29 12
-24 => -27 11
-29 => -31 7
-29 => -32 12
-29 => -22 6
-29 => -24 11
-29 => -27 1
-29 => -36 1
-29 -24 => -27 7
-29 -24 => -29 4
-27 => -29 13
-27 => -32 14
-27 => -31 6
-27 => -24 9
-27 => -22 4
-27 -24 => -22 4
-27 -24 => -29 4
-27 -24 => -27 1
-24 -27 => -32 4
-24 -27 => -29 6
-24 -27 => -24 1
-24 -27 -24 => -27 1
-22 => -27 3
-22 => -25 3
-22 => -24 7
-22 => -29 3
-22 => -19 1
-22 -24 => -25 6
-22 -24 => -27 1
-25 => -27 7
-25 => -29 3
-22 -25 => -29 3
-36 => -32 7
-36 => -22 2
-36 => -27 2
-36 => -31 1
-36 -27 => -32 2
-29 -27 => -22 1
-31 => -32 7
-31 => -27 7
-31 -27 => -24 7
-32 => -34 7
-32 => -29 7
-32 => -27 15
-32 => -36 6
-32 => -28 8
-32 => -24 1
-32 -27 => -32 8
-32 -27 => -31 6
-32 -27 => -24 1
-25 -27 => -29 7
-22 -27 => -22 3
-27 -29 => -32 6
-27 -29 => -31 7
-24 -27 -29 => -32 6
-22 -29 => -24 3
-25 -29 => -22 3
-32 -29 => -27 1
-32 -29 => -32 6
-24 -29 => -22 3
-24 -29 => -36 1
-24 -29 => -24 8
-32 -24 => -29 1
-32 -24 -29 => -36 1
-27 -31 => -27 6
-29 -31 => -32 7
-29 -32 => -36 6
-29 -32 => -27 6
-31 -32 => -34 7
-27 -32 => -27 9
-27 -32 => -28 4
-27 -32 => -24 1
-28 => -32 4
-28 => -24 4
-28 -32 => -28 4
-36 -32 => -29 7
-34 => -36 6
-34 => -24 1
-34 -36 => -32 6
-36 -22 => -24 2
-27 -22 => -25 3
-27 -22 => -24 1
-29 -22 => -24 3
-29 -22 => -29 3
-24 -22 => -19 1
-24 -22 => -27 3
-19 => -22 1
