-20 => -22 14
-20 => -17 23
-20 => -24 7
-20 => -29 5
-20 => -19 11
-20 => -25 9
-19 => -20 21
-19 => -24 6
-19 => -15 6
-19 => -22 3
-19 => -17 3
-19 -20 => -25 6
-19 -20 => -22 10
-19 -20 => -24 5
-22 => -24 11
-22 => -17 5
-22 => -19 11
-22 -19 => -20 5
-22 -19 => -15 6
-22 -19 -20 => -24 5
-25 => -20 9
-25 -20 => -22 3
-25 -20 => -19 6
-24 => -19 11
-24 => -20 22
-24 => -27 5
-24 -20 => -17 19
-24 -20 => -25 3
-24 -20 -17 => -20 16
-24 -20 -17 => -24 3
-24 -20 -17 -24 => -20 3
-24 -20 -17 -24 -20 => -25 3
-17 => -20 16
-17 => -22 5
-17 => -24 10
-17 -20 => -19 5
-17 -20 => -29 5
-17 -20 => -17 4
-17 -20 => -24 2
-19 -22 => -19 3
-29 => -22 5
-29 -22 => -17 5
-20 -22 => -24 11
-20 -22 => -19 3
-25 -20 -22 => -19 3
-17 -22 => -19 5
-27 => -24 5
-27 -24 => -20 5
-19 -24 => -19 6
-17 -24 => -20 10
-20 -24 => -20 2
-20 -24 => -27 5
-20 -19 => -20 5
-20 -19 => -24 6
-15 => -19 6
-15 -19 => -22 3
-15 -19 => -17 3
-24 -19 => -20 11
-19 -17 => -24 3
-17 -20 -17 => -24 4
-22 -17 => -22 5
