
-3 -1 -1 -8 -7 128 -7 128 -5 -5 -5 -5 -5 -5 -12 128 -12 -12 -12 -17 -17 -12 -12 -8 -12 -17 -5 0 -5 -8 -12 -7 -19 -19 -7 -6 -18 -17 128 -3 -1 -1 -8 -7 128 -7 128 -5 -5 -5 -5 -5 -5 -12
-17
-17
-19
