
-24 -8 -8 -8 -24 -8 -8 -8 -24 -8 -19 -7 -24 -5 -5 -5 -17 -7 -7 -7 -12 -5 -5 -5 -17 -7 -17 -5 -8
-17 -12
-12
-12
-12
-12
-12
-17
-22
-17
-12
-12
-12
-12
-12
-17
-17 -12
-12
-17
-19
-24
-15
-17
-17 -22 -17
-12
-12
-17 -17
-12
-19 -19
-17
-24
-24 -8 -8 -8 -24 -8 -8 -8 -24 -8 -19 -7 -24 -8 -8 -8 -17 -7 -7 -7 -12 -5 -5 -5 -17 -7 -17 -5 -8
-17 -12
