-24 => 128 30
-24 => -17 2
-24 => -19 1
-23 => -24 1
-23 -24 => -19 1
-17 => 128 15
-17 => -24 11
-17 => -12 10
-17 => -19 1
-17 128 => -12 10
-17 128 => -17 1
-17 128 => -24 1
-17 128 => -10 1
-17 128 => -6 1
-17 128 => -7 1
-17 128 -24 => -17 1
128 => -17 24
128 => -12 13
128 => -11 11
128 => -24 11
128 => -7 11
128 => -6 4
128 => -3 2
128 => -13 2
128 => -14 2
128 => -10 3
128 => -9 2
128 => -20 1
128 => -19 4
128 => -23 1
128 => -26 2
128 => -21 1
-26 => -19 1
-26 => 128 1
-26 128 => -21 1
128 -10 => -9 1
128 -10 => 128 2
128 -10 128 => -17 1
128 -10 128 => -10 1
-10 => 128 11
-10 => -11 6
-10 => -9 3
-10 128 => -10 1
-10 128 => -11 1
-10 128 => -17 2
-10 128 => -7 7
-9 => -7 4
-9 => -10 8
-9 => -8 3
-9 => 128 1
-9 -10 => -11 6
-9 -10 => 128 1
-9 -10 => -9 1
-9 -10 128 => -11 1
-15 => -10 4
-15 => -14 4
-15 => 128 5
-15 => -17 1
-15 128 => -7 1
-15 128 => -24 2
-15 128 => -9 1
-15 128 => -12 1
-28 => 128 1
-28 128 => -7 1
-4 => 128 2
-4 => -9 1
-4 128 => -3 2
-13 => -16 4
-13 => -14 1
-13 => -12 1
-13 => 128 2
-13 => -15 1
-13 128 => -14 1
-13 128 => -17 1
-9 128 => -9 1
-11 => -24 9
-11 => -13 4
-11 => -10 1
-11 => -12 3
-11 => 128 2
-11 128 => -10 1
-11 128 => -19 1
-22 => 128 1
-22 128 => -23 1
-24 128 => -17 20
-24 128 => -24 8
-24 128 => -7 1
-24 128 => -19 1
-11 -24 => 128 9
-11 -24 128 => -24 8
-11 -24 128 => -7 1
128 -17 => 128 13
128 -17 => -12 10
128 -17 => -24 1
128 -17 -24 => 128 1
128 -17 -24 128 => -19 1
-24 -17 => 128 2
-24 -17 128 => -10 1
-24 -17 128 => -24 1
-20 => -21 2
-20 => 128 1
-20 128 => -19 1
-14 => -15 5
-14 => 128 1
-14 => -13 1
-14 128 => -14 1
-7 => 128 3
-7 => -12 4
-7 => -3 4
-7 => -6 11
-7 => -8 9
-7 128 => -6 3
-19 => 128 4
-19 => -20 2
-19 128 => -20 1
-19 128 => -19 1
-19 128 => -26 2
128 -12 => -17 10
128 -12 => 128 2
128 -12 => -11 1
128 -12 128 => -12 1
128 -12 128 => -13 1
-12 => -17 10
-12 => 128 13
-12 => -9 4
-12 => -10 4
-12 => -11 2
-12 => -13 2
-12 128 => -11 10
-12 128 => -13 2
-12 128 => -12 1
-21 => 128 1
-21 => -22 1
-21 => -28 1
-21 128 => -12 1
-15 -17 => -19 1
-17 -24 => 128 11
-17 -24 128 => -17 10
-17 -24 128 => -19 1
-17 -24 128 -17 => -12 10
128 -24 => 128 9
128 -24 => -17 2
128 -24 128 => -17 9
128 -24 128 -17 => 128 9
-12 -17 => -24 10
-3 => -12 4
-3 => -2 2
-3 -12 => -10 4
-13 -12 => -11 1
-7 -12 => -9 4
-11 -12 => 128 1
-11 -12 => -13 2
-15 128 -12 => -11 1
-17 -12 => 128 10
-10 -11 => -13 4
-10 -11 => -12 2
-12 -11 => 128 1
-12 -11 => -10 1
128 -6 => -7 4
128 -6 -7 => -12 4
-6 => -7 12
-6 => -5 3
-6 -7 => -6 4
-6 -7 => -8 4
-6 -7 => -12 4
-6 -7 -6 => -7 4
-6 -7 -6 -7 => -8 4
-8 => -15 4
-8 => -9 5
-8 => -7 3
-8 -7 => -6 3
-9 -7 => -3 4
-15 128 -7 => 128 1
-28 128 -7 => 128 1
-24 128 -7 => 128 1
-8 -7 -6 => -5 3
-12 -9 => -7 4
-10 -9 => -8 3
-8 -9 => -10 5
-2 => -7 1
-2 => -9 1
-2 -9 => 128 1
128 -3 => -2 2
-15 -10 => 128 4
128 -9 => -10 2
128 -9 -10 => 128 1
128 -9 -10 => -9 1
-11 -10 => -9 1
-12 -10 => 128 4
-6 -7 -8 => -15 4
-9 -8 => -7 3
-16 => -15 4
-16 -15 => -14 4
-13 -15 => -17 1
-14 -15 => 128 5
-8 -15 => -10 4
-11 -13 => -16 4
128 -13 => -14 1
128 -13 => 128 1
-12 -13 => -15 1
-12 -13 => 128 1
-14 -13 => -12 1
-13 -14 => 128 1
-5 => -4 3
