-10| -12| 0.16666666666666666
-10| 128|-10 0.08333333333333333
-10| -13|-10 0.25
-10| 128| 0.25
-10| 128|-8 0.25
-12| -13| 0.2857142857142857
-12| 128| 0.14285714285714285
-12| 128|-12 0.42857142857142855
-12| 128|-10 0.14285714285714285
-13|-10 128|-13.-10 1.0
128| -9| 0.9
128| -8| 0.1
-13| 128| 0.3888888888888889
-13| -9| 0.16666666666666666
-13| -8| 0.1111111111111111
-13| 128|-12 0.16666666666666666
-13| 128|-13.-10 0.16666666666666666
-9| -8| 0.75
-9| 128|-8 0.14285714285714285
-9| 128|-6 0.10714285714285714
-8| 128|-8 1.0
-6| 128|-6 1.0
