128 => -24 14
128 => -20 8
128 => -13 4
128 => -29 7
128 => -10 2
128 => -22 10
128 => -15 2
128 => -12 6
128 => -18 2
128 => -17 10
128 => -25 1
128 => -19 11
-29 => 128 4
-29 => -7 1
-29 => -17 2
-29 128 => -17 1
-29 128 => -10 1
-29 128 => -22 1
-29 128 => -24 1
-10 => -13 1
-10 => 128 2
-10 => -12 4
-10 => -22 3
-10 128 => -22 1
-10 128 => -12 1
-15 => -17 3
-15 => 128 1
-15 128 => -17 1
-13 => -10 1
-13 => -17 1
-13 => 128 3
-13 => -15 1
-13 => -12 1
-13 128 => -12 2
-13 128 => -15 1
-25 => 128 3
-25 128 => -22 1
-25 128 => -24 2
-18 => -17 3
-18 => 128 2
-18 128 => -17 2
-22 => -20 5
-22 => -10 2
-22 => 128 7
-22 => -24 2
-22 => -25 1
-22 => -17 1
-22 => -12 1
-22 128 => -22 2
-22 128 => -17 1
-22 128 => -10 1
-22 128 => -29 2
-22 128 => -20 1
-22 -24 => 128 1
-22 -24 => -25 1
-22 -24 128 => -29 1
-24 => 128 12
-24 => -22 4
-24 => -25 1
-24 128 => -24 7
-24 128 => -20 1
-24 128 => -18 2
-24 128 => -29 1
-24 128 => -17 1
-25 128 -24 => 128 2
-25 128 -24 128 => -18 2
-17 => -12 3
-17 => -20 3
-17 => 128 16
-17 => -19 3
-17 => -5 1
-17 => -15 1
-17 128 => -22 2
-17 128 => -29 4
-17 128 => -17 2
-17 128 => -19 2
-17 128 => -12 2
-17 128 => -13 1
-17 128 => -25 1
-17 128 => -15 1
-17 128 => -24 1
-15 -17 => -19 1
-15 -17 => 128 2
-15 -17 128 => -22 2
-18 128 -17 => 128 2
-18 128 -17 128 => -12 2
-20 => -19 5
-20 => -17 2
-20 => -24 2
-20 => 128 9
-20 => -22 2
-20 128 => -22 3
-20 128 => -19 3
-20 128 => -20 2
-20 128 => -17 1
-5 => -7 1
-5 => 128 1
-5 128 => -12 1
-19 => -17 5
-19 => -18 3
-19 => 128 7
-19 => -20 4
-19 128 => -13 2
-19 128 => -19 4
-19 128 => -20 1
-12 => 128 9
-12 => -13 2
-12 => -10 3
-12 => -8 1
-12 128 => -19 2
-12 128 => -20 3
-12 128 => -24 2
-12 128 => -17 1
-12 128 => -13 1
-24 -22 => -20 4
-10 -22 => -17 1
-10 -22 => -25 1
-10 -22 => -20 1
-20 -22 => -24 1
-20 -22 => -12 1
128 -22 => -10 2
128 -22 => 128 7
128 -22 => -24 1
-22 -20 => -19 4
-22 -20 => -22 1
128 -20 => -17 2
128 -20 => 128 6
-17 -20 => 128 1
-17 -20 => -24 2
128 -19 => -17 2
128 -19 => 128 7
128 -19 => -20 1
128 -19 => -18 1
128 -19 -20 => -22 1
-17 -19 => -20 3
-12 128 -19 => -17 2
-20 -19 => -18 2
-20 -19 => -17 3
-20 -17 => -20 2
-15 128 -17 => -19 1
-19 -17 => -12 3
-19 -17 => -20 1
-19 -17 => -15 1
-29 -17 => -19 1
-29 -17 => -5 1
-17 -15 => -17 1
-17 -15 -17 => -19 1
-13 -12 => -10 1
-17 128 -12 => -10 2
128 -18 => 128 2
-10 -13 => -17 1
-8 => -10 2
-8 => -5 1
-8 -10 => -12 2
-22 -10 => -12 2
-13 -10 => -13 1
128 -10 => 128 2
-12 -10 => -22 3
-7 => -8 2
