128 => -12 5
128 => -10 2
128 => -8 1
128 => -24 75
128 => -19 24
128 => -29 33
128 => -20 18
128 => -17 21
128 => -22 12
128 => -25 6
-29 => 128 39
-29 => -24 6
-29 128 => -24 15
-29 128 => -29 24
-10 => 128 2
-10 128 => -8 1
-10 128 => -10 1
-25 => 128 9
-25 128 => -24 6
-25 128 => -25 3
-24 => 128 75
-24 => -29 6
-24 => -25 3
-24 => -13 3
-24 -25 => 128 3
-24 -25 128 => -25 3
-22 => 128 9
-22 => -24 3
-22 128 => -20 3
-22 128 => -22 6
-24 128 => -24 51
-24 128 => -22 3
-24 128 => -19 9
-24 128 => -20 9
-24 128 => -17 3
-19 => 128 24
-19 => -20 3
-19 => -17 3
-19 128 => -19 12
-19 128 => -22 3
-19 128 => -29 6
-19 128 => -24 3
-19 128 -24 => 128 3
-19 128 -24 128 => -24 3
-19 128 -24 128 -24 => 128 3
-19 128 -24 128 -24 128 => -17 3
-25 128 -24 => 128 6
-25 128 -24 128 => -20 6
-24 128 -17 => 128 3
-24 128 -17 128 => -20 3
-17 => -12 4
-17 => 128 15
-17 => -19 3
-17 => -29 6
-17 128 => -17 9
-17 128 => -20 3
-17 128 => -29 3
-19 -20 => 128 3
-19 -20 128 => -25 3
-20 => 128 18
-20 => -24 3
-20 => -19 3
-20 128 => -17 9
-20 128 => -19 3
-20 128 => -20 3
-20 128 => -25 3
-20 128 -20 => 128 3
-20 128 -20 128 => -19 3
-22 128 -20 => 128 3
-22 128 -20 128 => -20 3
-12 => 128 5
-12 => -8 1
-12 => -17 1
-12 => -24 1
-12 => -20 3
-12 128 => -10 1
-12 128 => -12 4
-8 => -12 2
-8 => -5 1
-8 -12 => -17 1
-8 -12 => -8 1
128 -12 => 128 5
-17 -12 => -24 1
-17 -12 => -20 3
-5 => -8 1
-13 => -17 3
-13 -17 => -12 3
-19 -17 => -29 3
-12 -17 => -12 1
-17 128 -29 => 128 3
-17 128 -29 128 => -24 3
-17 128 -29 128 -24 => -29 3
-20 -24 => -29 3
-22 -24 => -25 3
-29 -24 => 128 2
-29 -24 => -13 3
-17 -19 => -20 3
-20 -19 => -17 3
-17 -29 => -24 6
-17 128 -20 => -24 3
-12 -20 => -19 3
