128| 10| 0.07142857142857142
128| -2| 0.14285714285714285
128| 9| 0.14285714285714285
128| 7| 0.35714285714285715
128| 5| 0.07142857142857142
128| 0| 0.14285714285714285
128| 17| 0.07142857142857142
10| 9| 0.2857142857142857
10| 12| 0.2857142857142857
10| -2| 0.2857142857142857
10| 0| 0.14285714285714285
-2| 128|9 1.0
9| 7| 0.2
9| 128|9 0.2
9| 12| 0.2
9| 0| 0.2
9| 128|12 0.2
7| 5| 0.16666666666666666
7| 128|7 0.5
7| 128|5 0.3333333333333333
5| 128|5 0.6666666666666666
5| 128|7 0.3333333333333333
0| 128|9 1.0
12| 128|12 1.0
