5 => 7 24
5 => 2 12
5 => 9 3
4 => 5 26
4 => 2 3
4 5 => 7 23
4 5 => 9 3
11 => 9 12
11 => 12 3
11 12 => 4 3
11 12 4 => 5 3
11 12 4 5 => 9 3
7 => 9 27
7 => 12 9
7 => 4 6
7 => 6 6
7 => 5 12
7 => 0 6
7 => 2 3
7 => 128 3
7 5 => 2 12
5 9 => 7 3
5 9 7 => 2 3
9 => 7 36
9 => 11 3
9 => 12 3
9 7 => 6 6
9 7 => 9 3
9 7 => 12 9
9 7 => 2 3
9 7 => 5 12
9 7 => 4 3
9 7 9 => 7 3
9 7 9 7 => 6 3
11 9 => 7 12
11 9 7 => 6 3
11 9 7 => 5 6
11 9 7 => 9 3
5 7 => 9 24
2 => 11 9
2 => 7 6
2 => 4 6
2 7 => 0 6
6 => 7 6
6 7 => 4 3
6 7 => 128 3
2 4 => 5 6
2 4 5 => 7 6
2 4 5 7 => 9 6
2 4 5 7 9 => 11 3
2 4 5 7 9 => 12 3
12 => 4 12
12 => 11 3
9 12 => 11 3
7 4 => 2 3
7 4 => 5 3
7 2 => 4 3
4 2 => 11 3
0 => 128 5
0 => 2 3
0 2 => 4 3
9 11 => 12 3
-1 => 0 3
-1 0 => 2 3
128 => -1 3
128 => 4 5
