-28| 128| 1.0
128| -13| 0.25
128| -17|128 0.25
128| -17| 0.25
128| -17|-19 0.25
-17|128 -19|-17 1.0
-17| -24| 0.5
-17| -19|-17 0.16666666666666666
-17| -22| 0.16666666666666666
-17| -15| 0.16666666666666666
-17|-19 -19|-22 1.0
-19|-17 -22| 1.0
-24| -21| 0.5
-24| -19|-24 0.5
-22| -19|-22 0.5
-22| -23| 0.5
-21| -16| 0.6666666666666666
-21| -22| 0.16666666666666666
-21| -19|-23 0.16666666666666666
-19| -14| 0.2
-19| -21| 0.2
-19| -20| 0.2
-19| -22| 0.2
-19| -17|-19 0.2
-14| -21| 0.5
-14| -19|-16 0.5
-20| -22| 0.5
-20| -19|-24 0.5
-16| -23| 0.6666666666666666
-16| -19|-16 0.3333333333333333
-23| -19|-23 1.0
