-17 => -20 24
-17 => -12 28
-17 => 128 8
-17 => -15 4
-17 => -24 12
-20 => 128 4
-20 => -17 8
-20 => -24 12
-20 => -15 12
-20 => -12 4
-20 -17 => -12 8
128 => -20 4
128 => -17 12
128 => -22 4
128 -17 => -12 8
128 -17 => -15 4
-17 -24 => -22 4
-17 -24 => -17 7
-17 -24 -17 => -12 4
-17 -24 -17 => -20 3
-24 => -17 19
-24 => -22 4
-24 -17 => -12 4
-24 -17 => -20 3
-24 -17 => 128 8
-24 -17 -12 => -17 4
-24 -17 -12 -17 => -24 4
-12 => -17 36
-12 => 128 8
-12 => -8 4
-12 => -13 8
-12 -17 => -20 20
-12 -17 => -24 8
-12 -17 => -12 8
-20 -17 -12 => -17 8
-20 -17 -12 -17 => -12 8
-15 => -20 4
-15 => -17 4
-15 -17 => -24 4
-22 => -20 8
-22 -20 => -15 8
-15 -20 => -15 4
128 -20 => -17 4
-13 => -12 8
-13 -12 => -17 8
-13 -12 -17 => -20 4
-13 -12 -17 => -24 4
-13 -12 -17 -20 => -17 4
-17 -20 => -24 12
-17 -20 => 128 4
-17 -20 => -12 4
-17 -20 => -17 4
-24 -17 -20 => 128 3
-20 128 => -20 4
-17 128 => -17 8
-20 -12 => -13 4
-17 128 -17 => -15 4
-17 128 -17 => -12 4
-17 128 -17 -12 => -13 4
-15 -17 -24 => -22 4
-17 -15 => -20 4
-20 -15 => -17 4
