7 => 5 8
7 => 2 3
7 => -2 2
3 => 0 2
3 => 2 7
3 => 7 1
3 7 => -2 1
5 => 2 5
5 => 7 10
5 => 0 2
5 => 3 1
5 => -2 2
5 => 128 1
-2 => 5 6
-2 => 3 1
-2 => 2 10
-2 => -5 27
-2 => 0 3
-2 5 => 7 6
5 2 => 5 1
5 2 => 0 2
5 2 => 3 2
5 2 5 => 128 1
2 => 3 8
2 => 128 4
2 => 5 7
2 => -2 10
2 => 0 12
2 => -7 5
2 => -5 2
0 => 2 10
0 => -2 11
0 => 128 1
0 => -7 1
0 2 => 128 2
0 2 => -2 1
0 2 => -5 2
0 2 => 0 1
0 2 => 5 4
2 0 => -2 10
2 0 => -7 1
2 0 => 2 1
2 0 2 => -2 1
-2 0 => -2 1
-2 0 => 2 2
-2 0 2 => -5 2
128 => -2 5
128 => 0 4
128 => -5 8
128 => 2 7
128 => -7 2
128 => -1 1
128 0 => 2 4
128 0 2 => 5 4
-5 => -2 15
-5 => -7 7
-5 => 2 6
-5 => 128 11
-5 2 => -2 5
-5 2 => 0 1
-2 2 => -7 5
-2 2 => 128 2
-2 2 => 0 2
-2 2 => 5 1
128 2 => 0 5
128 2 => -2 2
7 2 => 3 3
-2 3 => 7 1
5 3 => 0 1
-5 2 0 => -7 1
3 2 => -2 2
3 2 => 5 1
3 2 => 3 3
3 2 => 0 1
3 2 0 => 2 1
5 0 => 128 1
5 0 => 2 1
-10 => 128 5
-10 128 => 2 5
5 128 => 0 1
-7 => -5 5
-7 => 128 5
-7 => -10 5
-7 128 => -5 5
2 128 => -2 3
2 128 => 0 1
0 128 => -1 1
-7 -5 => -2 2
-7 -5 -2 => 0 2
7 -2 => 2 1
7 -2 => 5 1
5 -2 => 2 1
3 2 -2 => 3 1
3 2 -2 => 5 1
2 -5 => -2 2
128 -5 => -2 7
128 -5 => 128 1
-1 => -5 1
-1 -5 => 2 1
2 -2 => -5 7
2 -2 => 3 1
2 -2 => 5 2
2 -2 -5 => -7 5
2 -2 -5 => 128 1
0 -2 => -5 8
0 -2 => 0 1
0 -2 => 5 2
0 -2 -5 => 128 6
-5 -2 => -5 8
-5 -2 => 2 5
-5 -2 => 0 2
-5 -2 -5 => 2 5
-5 -2 -5 => 128 3
2 -7 => 128 5
-5 -7 => -10 5
-5 -7 => -5 2
128 -7 => -5 2
