12| 19| 0.125
12| 7| 0.25
12| 128|12 0.125
12| 128| 0.25
12| 9| 0.125
12| 128|0 0.125
19| 14| 0.5
19| 128|19 0.5
7| 128| 0.35294117647058826
7| 14| 0.11764705882352941
7| 2| 0.058823529411764705
7| 11| 0.058823529411764705
7| 128|7 0.11764705882352941
7| 12|14 0.11764705882352941
7| 128|19 0.058823529411764705
7| 128|11 0.058823529411764705
7| 128|12 0.058823529411764705
128|12 11| 1.0
128| 0| 0.1111111111111111
128| 11| 0.05555555555555555
128| 2| 0.2777777777777778
128| 3| 0.2222222222222222
128| 5| 0.05555555555555555
128| 15| 0.05555555555555555
128| 8| 0.1111111111111111
128| -4| 0.1111111111111111
14| 12|14 0.6666666666666666
14| 11| 0.3333333333333333
128|19 3| 1.0
2| 128|2 0.5
2| 7|2 0.16666666666666666
2| 128|3 0.3333333333333333
11| 128|11 0.5
11| 7|2 0.5
3| 128|3 0.3333333333333333
3| 128|5 0.3333333333333333
3| 128|2 0.3333333333333333
0| 4| 0.25
0| 128|0 0.25
0| 128|-4 0.25
0| 128|7 0.25
5| 128|5 1.0
15| 128|3 1.0
8| 128|8 1.0
-4| 128|-4 0.5
-4| 128|8 0.5
4| 9| 1.0
