

-12 -8 -5 -12 -12 -8 -5 -12 -17 -13 -7 -13 -12 -8 -5 -12 -19 -15 -10 -15 -17 -12 -5 -12 -17 -13 -7 -13 -12 -17 -24
-12
-12
-17
-12
-19
-12
-12
-10
-10
-17
-12
-12
-19
-12
-8
-15
-19
-20
-12
-18
-17
-17
-12 -17 -24
-12 -8 -8
-8
-18 -9 -9 -9 -17 -8 -17 -7 -12 -17 -24
-12
-12
-17
-12
-19
-12
-12
-10
-10
-17
-12
-12
-19
-12
-8
-15
-19
-20
-12
-18
-17
-17
-12 -17 -24
-12 -8 -8
-8
-18 -9 -9 -9 -17 -8 -17 -7 -12 -17 -24
-12
-12
-17
-12
-19
-12
-12
-10
-10
-17
-12
-12
-19
-12
-8
-15
-19
-20
-12
-18
-17
-17
-12 -17 -24
-12 -8 -8
-8
-18 -9 -9 -9 -17 -8 -17 -7 -12 -17 -24
-12
-12
-17
-12
-19
-12
-12
-10
-10
-17
-12
-12
-19
-12
-8
-15
-19
-20
-12
-18
-17
-17
-12 -17 -24
-12 -8 -8
-8
-18 -9 -9 -9 -17 -8 -17 -7 -12 -17 -24
