
-29 128 -29 128 -29 -23 -24 128 -20 -19 -17 -29 -31 -32 -34 -29 -22 -29 -23 -24 -23 -24 -26 -27 -29 -31 -32 128 -34 -32 -30 -29 -22 -29 -25 -24 -23 -22 -22 -22 128 -22 -23 -24 128 -24 -34 -32 -30 -29 -25 128 -24 -23 -22 -22 -22 -34 -32 -30 -29 128 -29 128 -29 128 -23 -24 128 -24 -34 -27 128 -29 128 -29 -28 128 -28 -29 128 -35 128 -35 -36 128 -36 -35 128 -35 -36 -26 128 -27 -28 -29 -31 -32 128 -34 -32 -30 -29 -22 -29 -25 -24 -23 -22 -22 -22 128 -23 -24 -24 128 -24 -34 -32 -27 -29 -25 -24 -23 -22 -22 -34 128 -34 -32 128 -30 -29 128 -29 128 -29 128 -23 -24 -26 -27 -28 -29 -31 -32 -34 128 -29 128 -29 -23 -24 -26 -27 -29 -26 128 -25 -24 -26 -27 -28 -29 -31 -32 -34 -32 128 -30 -29 -31 -29 -25 -24 -23 -22 128 -22 128 -22 -23 -24 128 -24 -29 -24 -34 -27 128 -27 -29 -25 -24 -23 -22 -34 128 -34 128 -34 128 -34 128 -34 128 -34 -30 128 -29 128 -29 128 -29 128 -23 -24 -26 -27 -28 -29 -31 128 -32 -34 -32 -30 -29 -34 -29 -23 128 -24 128 -23 128 -24 128 -24 128 -24 -34 -27 128 -27 -29 -31 -32 -34 -32 -30 -29 128 -29 128 -29 128 -29 -24 -23 -22 -22 128 -22 -23 -24 128 -24 -24 128 -24 -29 128 -29 128 -24 -23 128 -22 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -29 128 -29 128 -23 -24 128 -24 128 -29 -31 -32 -34 -32 -30 -29 -23 128 -24 -23 -24 128 -24 -29 -31 -32 128 -34 -32 -30 -29 -31 -29 128 -29 -24 -23 -22 128 -27 -22 -27 -22 -23 -24 -24 128 -24 128 -24 -29 -25 -24 -23 -22 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -29 128 -29 -29 128 -23 -24 -24 128 -29 128 -24 128 -24 -29 128 -29 -34 -30 -29 128 -29 -23 128 -23 -24 128 -24 128 -23 128 -23 128 -24 -26 -27 -28 -29 -31 -32 -34 -32 -30 -29 -32 -29 -25 -24 -23 -22 128 -22 -29 -23 -24 -24 128 -24 128 -24 -29 -25 -24 -23 -22 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -34 128 -29 128 -29 -32 -29 -32 -29 -25 -24 -26 -27 -34 -32 -30 -29 128 -29 128 -29 -32 -29 128 -29 128 -32 -31 128 -30 -29 128 -29 128 -29 -32 -29 128 -29 128 -23 -24 128 -24 -26 128 -26 -27 128 -27 -29 -26 -25 -24 128 -24 -26 128 -26 -27 128 -27 -28 128 -28 -29 -29 -31 128 -31 -32 128 -32 -34 -32 -30 -29 128 -29 -31 128 -31 -32 -25 -24 -23 -22 -27 128 -22 128 -22 -27 -22 -29 -27 -25 -24
-24
-24
-24
-29 128 -29 128 -32 -29 -32 128 -29 -29 128 -29 128 -29 128 -32 -29
