128
76 77 79 79 78 79 84 88 86 81 128 81 79 81 79 81 79 76 72 74 89 86 83 79 74 76 77 79 81 79 76 72 77 79 81 79 77 76 72 81 79 74 71 81 79 72 76 72 128 55 64 55 128 55 64 55 128 53 62 53 128 53 62 53 128 55 64 55 128 55 64 55 128 77 74 71 67 62 64 65 128 55 64 55 128 55 64 55 128 53 62 53 128 62 60 62 128 62 62 62 128 62 62 62 128 67 62 67 128 67 62 67 128 65 62 65 128 65 62 65 128 64 64 64 128 64 64 64 128 65 65 65 128 64 64 64 128 67 67 67 67 62 64 65 128 55 64 55 128 55 64 55 128 53 62 53 128 53 62 53 128 55 64 55 128 55 65 55 128 55 64 55 64 128 62 55 67 55 62 55 67 55 64 55 67 55 64 55 67 55 64 128 66 128 67 79 77 74 71 67 65 62 72 72 72 72 72 72 72 74 76 128 67
76 74 72 67 69 71 72 74 76 77 79 81 79 77 76 74 72 71 69 128 69 67 69 67 65 67 69 67 69 67 62 67 64 60 60 128 55 64 55 128 55 64 55 128 53 62 53 128 53 62 53 128 55 64 55 128 55 64 55 128 77 74 71 67 62 64 65 128 55 64 55 128 55 64 55 128 53 62 53 128 62 60 62 128 62 62 62 128 62 62 62 128 67 62 67 128 67 62 67 128 65 62 65 128 65 62 65 128 64 64 64 128 64 64 64 128 65 65 65 128 64 64 64 128 67 67 67 67 62 64 65 128 55 64 55 128 55 64 55 128 53 62 53 128 53 62 53 128 55 64 55 128 55 65 55 128 55 64 55 64 128 62 55 67 55 62 55 67 55 64 55 67 55 64 55 67 55 64 128 66 128 67 79 77 74 71 67 65 62 72 72 72 72 72 72 72 74 76 128 67
76 74 72 67 69 71 72 74 76 77 79 81 79 77 76 74 72 71 69 128 69 67 69 67 65 67 69 67 69 67 62 67 64 60 60
