
-5 -12 -7
-10 128 -10 -10 128 -10 -10 128 -10 -8 128 -10 -9 -8 128 -17 -18 -17 -15 -10 128 -10 128 -17 -15 128 -14 -15 -18 -19 128 -15 -16 -15 -10 -10 128 -11 -10 128 -6 -5 128 -11 -10 -16 -17
-6 -9 -12 -10 128 -10 -10 128 -10 -10 128 -10 -7 -4 0 2 3 0 0 -2 -4 128 -1 128 -4 -5 -6 -5 -2 -5 -2 -5 -7 -6 -9 -6 128 -9 -7 -9 128 -14 128 -14 -14 128 -14 128 -5 -4 -2 128 -14 128 -7 -5 128 -5 -7 -4
-8 -7 128 -8 -7 128 -5 -7 -10 128 -6 -9 -12
-9 128 -7 128 -7 -7 128 -4 -4 -4 128 -17 -17 128 -17 -17 128 -18 -18 -18 128 -12 -9 -7 128 -14 128 -14 -14 -14 128 -14 -10 -11 -13 -15 128 -17 -19 128 -17 -17 128 -17 128 -14 -14 -14 128 -15 -15 -15 -15 -15 128 -16 -16 -16 128 -7 -7 128 -7 128 -3 -10 -6 128 -5 -10 -7 -5 -1 -2 128 -3 128 -16 -17 -18 128 -19 128 -19 -20 -21 -22 -23 -24 -25 -26
-9 128 -8 -7 -8 -7 -6 -5 128 -5 -5 0 128 0 128 -3 -5 -5 128 -7 -4 -7 -7 128 -7 -7 128 -5 -7 -8 128 -8 -8
-17 -18 -17 -15 -10 128 -10 128 -17 -15 128 -14 -12 -6 -7 128 0 -2 128 -5 128 -7 128 -12 -8 128 -2 128 -4 -3 128 -5 128 -8 128 -6
0 0 128 -7 -7 128 -7 128 -3 -10 -6 128 -5 -10 -7 -5 -1 -2
-18 128 -18 128 -18 128 -19
