
-7 2 9
7 9 7 6 7 -9 1 5 12
-12 -2 2 9 2 9
7 -7 -15 -1 6
2 2
2 -5 -2 -14 -7 -3 2 -5 -2 5 2 5 2
-16 -6 -2 2 5 4 3 2 -2 0 2 0 -10 -3
2
2 1 2 -2 9 7
-12 2 2
-17 -10 2 0 2
9
6
1 -19 4 4 -12 2 4 2 0 2 4 2 -4 0
-20 -4 1 4 4 4 4 4
5 128 5 -6 8 5 0 0
-2 0 -2 -3 -2 -11 4 4
4 128 4 -10 -7 4 7 -7 4
5 5 5 -1
4
4
-17 4 4
4 7 4
4
2 -2 -10 -2 -15 0 -8 0 -5 -14 1 5
-9 -14 -15 0
-17 0 2
2
7
2 2 128 3
3 128 2
2
1
1
0
0 -3
0 0 7 7 7 128 5
5 128 5 3 5
5 9 10
5 9 2 2
-17 -10 -2 2
0 5 3 0
0 0 5
3 5 3 2 -3 0 -1 -2 -3 -7 -3 -2 2
5
9
9 128 9
5
1
3 128 -14 1 5
1
1
1
3 5 1 -9
0
-2
-2
-2 128 2
2
2 128 3
-16 -16 3 -17 2 2
1
3 -8 4 -5 -12 -19 -14 -9 -4 5 -4 0
-20 -4 4 4 1
0
-1 5
1 8
5
0
-10 -3 0 -11 1 4 5
3 -12 4 4 4
4
-17 -10 -15 -10 4 -15 4 0 4
4 -1 4 128 -17 -10 4 7 4 2 -7 2 -15 0 4 4 -14 5 5 5 5
5 0
0
-17 0 0 2 -2 2 128 2
1 2
-1 8 8 10
9
9
8
1
4 0 4 128 0 4 9 7
0 0
0
0
0
7 3 3 5 -6 0 -9 -6 2 128 0 5 2
-3 0
0 128 -2 -2 2
-15 -9 -5 0 5 3 2 3 2 0 2 -2 -5 -9 -9 -10 -15 -6 0 0 128 0 -7 -2
2
-12 2 -2
1 1 -14 1 1 -21 1 -4 -14 1 -9 1 1 -9 -21 -4 1 -14 1 -9 1 1 -9 1 1 -14 -21 -9 1 1 -9 1 -9 -14 1 1 -14 -21 1 1 1 -14 1 1
-19 -8 -3 0 4 0 4 -3 5 0 7 4 0 2 0 8 9 4 5 1 2 -1 0 -4 -3 0 -2 0 -2 -3 -5 -3 -5 -7 -19 -8
