
5 9 7
0 9 0 7 9 128 0 128 10 9 128 7 5 4 2 128 2 4 9 12 12 128 11 12 128 6 7 128 -1 0 0 -1
8 12 14 15 12 12 10 8 128 11 128 8 7 6 7 10 7 8 7 5 6 3 6 128 3 5 3 128 4 128 5 7 128 5 128 7 8 10 128 1 128 5 7 128 8 8 11
3 128 5 128 5 5 128 8 8 8 128 -2 2 128 2 5 128 5 4 3 128 0 3 5 128 4 128 5 7 5 128 2 0 -1 -3 -5 128 -7 -9 128 2 5 128 2 128 9 8 7 128 0 4 0 4 7 128 7 6 5 128 5 5 128 5 128 9 9 2 128 7 2 5 7 11 10 128 9 128 7 128 7 6 5 4 3 2 1 0 -1 -2 -3 -4 -5 -6 -7 -8 -9
3 128 4 5 4 5 6 7 128 9 7 9 128 12 128 9 7 7 128 7 8 5 5 128 5 5
0 9 0 7 9 128 0 128 10 9 128 7 5 4 9
12 12 128 5 5 128 5 128 9 9 2 128 7 2 5 7 11 10
8 128 8 128 8 128 7
