
-5 -3 -5
-5 -7 -5 128 0 -1 128 -5
-5 -5 0 128 -1 128 -3 -5 128 -7 -5 128 0 -1 128 -5
2 0 -1
-5 -7 -5 0 -1 128 -5
-5 -5 -5 0 128 -1 128 -3 -5 128 -7 -5 128 -1 -5 -5
0 128 0 -1 -1 128 2 128 7 0 128 0 2 128 5 4 2 0 -1
2
4 5
2 0
-1 2 128 7 128 0 0 2
5 4 2 0 -1
2
4 5
2
2 0 2 0
-5
-5 -7 -5 0 -1 -5
-5 -5 -5 2 128 0 128 -1 128 -3 -5 128 -7 -5 128 0
-1
-5 128 0 128 0 -1 2 2 5 4 2 128 0 -1 -5
-5 -5 -5 0 128 -1 128 -3 -5 -7 -7 -5 128 -1 -5 -5
0 0 -1 -1 128 2 128 7 0 128 0 2 128 5 4 2 0 -1
2
4 5
2 0
-1 2 128 7 128 4 5 5
5 4 2 0 -1
2
4 5
2 2 0 2 0
-5
4 2 2 2
2 2 2 0 -1 0 2 2 2
2 2 2 0 -1 0 2 2 2
2 2 1 1 128 4 128 9 2 128 2 4 128 7 6 4 2 1
4
6 7
4 2
1 4 128 9 128 6 7 7
7 6 4 2 1
4
6 7
4 2
4 4 2 1
9 11 9 9 7 7 6 4 2 1
4
6 7
4 4 2 4 2 1 4
9 11 9 9 7 6 4 2 1
4
6 7
4 4 2 4 2
-3
4 2 7
4
4 128 7 6 128 4 2 128 1 2 128 4 -3
2 2 1 -3
4 2 7
4
4 128 7 6 128 4 2 128 1 2 128 4
7 6 128 4 2 128 1 2 128 4 -3
