

-12 0 0 -10 -1 -1 -17 -1 -1 -12 0 0 -10 -1 -1 -10 -1 -1 -10 0 0 2
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
-12
-10
-17
-12
-13
-17
-10
-5
-17
-12
-12
-7
-6 -5
-12
-17
-12
-5
-8
-12
-17
-20 0
-12 0
-5 -10 -13 -17
-12
-8
-7
-7
-17 0
-17 2
0 -5 -8 -12
-5 5 5 -5 5 5 -12 0 0 0
-7
17
24 24 24 24
