
-7 -2 -3
-7 128 -7 -7 128 -7 -7 128 -7 -5 128 -7 -6 -5 128 -7 128 -9 -7 -5 -6 128 -6 128 -7 -5 128 -5 -5 -11 -12 128 -8 -7 -5 0 0 128 -1 0 128 -3 -2 128 -8 -7 -6 -7
-3 -6 -9 -7 128 -7 -7 128 -7 -7 128 -7 -4 0 3 5 5 3 3 0 0 128 3 128 -1 -2 -3 -2 0 -2 -1 -2 -5 -3 -6 -3 128 -7 -4 -7 128 -4 128 -4 -4 128 -4 128 -2 0 2 128 -7 128 -5 -2 128 0 0 3
-5 -4 128 -5 -4 128 -2 -5 -7 128 -3 -6 -9
-7 128 -4 128 -4 -4 128 -1 -1 -1 128 -10 -7 128 -7 -7 128 -7 -8 -9 128 -9 -7 -4 128 -4 128 -4 -4 -4 128 -9 -6 -7 -9 -11 128 -13 -15 128 -10 -10 128 -10 128 -3 -4 -5 128 -8 -5 -8 -5 -5 128 -5 -6 -7 128 -5 -4 128 -4 128 0 0 -3 128 -2 -7 -5 -2 3 2 128 0 128 -9 128 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 -19 -20 -21 -22 -23 -24 -25
-6 128 -6 -5 -6 -5 -3 -2 128 1 1 2 128 2 128 0 -2 -3 128 -4 -1 -4 -5 128 -5 -5 128 -2 -5 -5 128 -5 -5
-7 -9 -7 -5 -6 128 -6 128 -7 -5 128 -5 -5 4 2 128 3 2 128 -2 128 -5 128 -8 -5 128 2 128 -1 0 128 -3 128 -5 128 -3
3 3 128 -5 -4 128 -4 128 0 0 -3 128 -2 -7 -5 -2 3 2
-11 128 -11 128 -11 128 -12
