
-2 1 0
-3 128 -3 -3 128 -3 -3 128 -3 -3 128 -3 -3 -3 128 -2 -3 -2 0 0 128 0 128 -2 0 128 -7 -2 -2 -3 128 -5 -1 0 4 4 128 4 5 128 0 1 128 -4 -3 -9 -10
0 -3 -6 -3 128 -3 -3 128 -3 -3 128 -3 0 3 5 7 8 7 5 3 3 128 5 128 3 2 1 2 3 2 1 0 -2 2 -3 0 128 -4 0 -4 128 0 128 0 0 128 0 128 0 3 5 128 -4 128 -2 1 128 3 3 5
-1 0 128 -2 -1 128 2 -2 -5 128 0 -3 -6
-4 128 0 128 0 0 128 3 3 3 128 -7 -5 128 -2 -2 128 -3 -3 -3 128 -7 -4 -1 128 0 128 0 0 0 128 -5 -1 -2 -4 -6 128 -8 -10 128 -7 -7 128 -7 128 1 1 1 128 -5 -3 -5 0 0 128 -1 -1 -1 128 -2 -1 128 -1 128 4 3 0 128 2 -5 -2 2 5 4 128 2 128 -3 128 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 -19
-3 128 -3 -2 -3 -2 1 2 128 5 5 5 128 5 128 4 2 0 128 -1 2 -1 -2 128 -2 -2 128 1 -2 -3 128 -3 -3
-2 -3 -2 0 0 128 0 128 -2 0 128 -7 -2 -2 -3 128 6 5 128 2 128 -2 128 -5 -2 128 4 128 3 4 128 0 128 -3 128 0 128 2 128 1 2 5 2 1 2 5 2 1 2 5 128 6 6 128 -2 -1 128 -1 128 4 3 0 128 2 -5 -2 2 5 4
-2 128 -2 128 -2 128 -3
