
10 16 16
7 15 7 16 15 128 9 128 17 16 128 14 14 10 9 128 9 11 16 18 18 128 16 17 128 12 13 128 4 5 0 -1
15 17 19 20 19 17 15 15 128 17 128 15 14 13 14 15 14 13 12 10 14 9 12 128 8 12 8 128 12 128 14 16 128 14 128 15 15 17 128 8 128 10 13 128 15 15 17
8 128 12 128 12 12 128 15 15 15 128 5 7 128 7 10 128 12 12 12 128 5 8 12 128 12 128 14 16 14 128 7 6 5 3 1 128 -1 -3 128 9 14 128 9 128 17 17 13 128 4 9 4 9 12 128 16 15 14 128 10 11 128 11 128 16 15 9 128 14 7 10 14 17 16 128 14 128 14 128 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 -1 -2
9 128 9 10 9 10 13 14 128 17 15 17 128 17 128 16 14 12 128 16 14 11 10 128 10 10
7 9 10 11 12 9 12 128 9 128 9 18 9 16 18 128 9 128 19 18 128 16 14 13 14
14 128 13 14 17 14 13 14 17 14 13 14 17 128 6 6 128 -2 -1 128 -1 128 4 3 -3 128 2 -5 -2 2 5 4
3 128 3 128 3 128 4
