
-5 0 -7
-5 -6 -5 -3 2 128 -10 128 -5 -3 128 -2 0 -6 -9 128 -3 -4 -3 -10 2 128 1 2 128 0 1 128 1 2 -4 -5
7 8 10 12 10 8 7 5 128 8 128 7 5 4 5 6 5 4 3 2 5 2 3 128 0 3 0 128 -2 128 -2 -2 128 -2 128 7 8 10 128 -2 128 1 5 128 7 5 8
-4 128 -4 128 -4 -4 128 -4 -4 -4 128 -5 -5 128 -5 -5 128 -6 -6 -6 128 -7 -7 -7 128 -2 128 -2 -2 -2 128 -9 -10 -11 -13 -15 128 -17 -19 128 -5 -5 128 -5 128 -2 -2 -2 128 -3 -3 -3 -3 -3 128 -4 -4 -4 128 -5 -4 128 -4 128 -3 2 2 128 5 -2 2 5 8 9 128 5 128 -4 -5 -6 128 -7 128 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 -19 -20 -21 -22 -23
0 128 1 2 1 2 4 5 128 -9 -9 -7 128 -7 128 -7 -5 -3 128 -4
9 8 7 0 2 0 3 3 128 2 6 2 -6 -5 128 -5 128 -5 128 -5 0 128 0 128 -4 -3 128 -3 128 -3 128 -10 -5 -6 -5 -3 2 128 -10 128 -5 -3 128 -2 0 -6 -7 128 13 14 14 12 128 9 4 2 128 3 0 2 3 128 -5 -4 -3 -4 -5 -6 -7 -8 -9 -10 128 -10 -10 128 -5 -4 128 -4 128 -3 2 2 128 5 -2 2 5 1 0
-6 128 -6 128 -6 128 -7
