

-12 -12 -12
-12
-12
-12 -12 -12
-12
-12
-12 -12 -17
-17 -17 -17 -17
-17 -12 -12
-12 -12 -12
-12 -12 -12
-24 -24 -19
-19 -19 -19
-19 -19 -17
-17 -17 -17 -17
-17 -24 -24
-12 -12 -12
-12
-12
-12 -12 -12
-12
-12
-12 -12 -17
-17 -17 -17 -17
-17 -12 -12
-12 -12 -12
-12 -12 -12
-24 -24 -19
-19 -19 -19
-19 -19 -17
-17 -17 -17 -17
-17 -24 -24
-12 -12 -12
-12
-12
-12 -12 -12
-12
-12
-12 -12 -17
-17 -17 -17 -17
-17 -12 -12
-12 -12 -12
-12 -12 -12
-24 -24 -19
-19 -19 -19
-19 -19 -17
-17 -17 -17 -17
-17 -24 -24
