128
50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 50 128 50 50 128 50 50 128 50 128 50 128 50 128 43
50 128 43
43 128 50
48 128 48 48 128 48 48 128 48 128 48 128 48 128 48 128 48 48 128 48 48 128 48 128 48 128 48 128 48 128 48 48 128 48 48 128 48 128 48 128 48
48 128 48 48 128 48 48 128 48 128 48 128 48 128 48 128 48 48 128 48 48 128 48 128 48 128 48 128 48 128 48 48 128 48 48 128 48 128 48 128 48
50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50
50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50
50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 50 128 50 50 128 50 50 50 128 50 128 50 128 50 128 50 128 50
43 128 43 128 43 128 43 128 50 128 43 128 43 128 43
43 128 43 128 43 128 50 128 43 128 43 128 43
43 128 43 128 43 128 43 128 43 128 43 43 128 43 128 43 128 43 128 43 128 43 43 128 43 128 43
43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43 128 43
43 128 43 128 43 128 43
43
43 128 43 128 43
