
-12 -8 -5 -5 -5 -5 -3 -5
-5 0 -5 0 2 4 2 0 -1 -3 -5 -3 -5
-5 0 -5 -3 -8 -7 -5 -7 -8 -10 -12
-12 -8 -5 -5 -5 -5 -3 -5
-5 0 -5 0 2 4 2 0 -1 -3 -5 -3 -5
-5 0 -5 -3 -8 -7 -5 -7 -8 -10 -12
-5 -5 -7 -8 -10 -12
-5 -5 -7 -8 -10 -12
-10 -8 -7 -8
-5 -3 -1 0
0 4 2 0
-5 0 -5 -3 -8 -7 -8 -10 -12
