4|	-17|4	1.0
-17|	-24|	0.05555555555555555
-17|	-10|	0.05555555555555555
-17|	-25|-17	1.0
-17|	-27|-17	1.0
-17|	-29|-17	1.0
-29|	-24|	0.415929203539823
-29|	-8|	0.008849557522123894
-29|	-17|-29	1.0
-29|	-22|-29	0.4444444444444444
-29|	-27|-29	1.0
-24|	-36|	0.10526315789473684
-24|	-30|	0.14035087719298245
-24|	-25|-24	0.375
-24|	-27|-24	0.5
-24|	-29|-24	0.8
-27|	-29|	0.3148148148148148
-27|	-25|-27	1.0
-27|	-24|-27	0.4
-27|	-22|-27	0.7142857142857143
-22|	-17|	0.24242424242424243
-22|	-34|	0.045454545454545456
-22|	-27|-22	0.5
-22|	-24|-22	1.0
-22|	-29|-22	0.2222222222222222
-22|	-25|-22	0.5
-25|	-5|	0.04
-25|	-8|	0.04
-25|	-12|	0.12
-25|	-29|-25	0.5625
-25|	-24|-25	0.3333333333333333
-25|	-22|-25	1.0
-34|	-8|	0.25
-34|	-29|-34	1.0
-5|	-12|	0.5
-5|	-29|-5	1.0
-36|	-8|	0.125
-36|	-29|-36	1.0
-36|	-25|-36	1.0
-12|	-10|	0.14285714285714285
-12|	-22|-12	1.0
-12|	-25|-12	1.0
-12|	-36|-12	0.5
-30|	-25|	0.375
-30|	-24|	0.125
-30|	-27|-30	1.0
-8|	-12|	0.6666666666666666
-8|	-10|	0.3333333333333333
-10|	-34|	0.5
-10|	-12|	0.5
-17|-29	-10|	1.0
-17|4	-24|	1.0
-25|-17	-29|-25.-17	1.0
-25|-24	-5|	0.125
-25|-24	-29|-25.-24	1.0
-25|-24	-24|-25	0.375
-25|-27	-29|-25.-27	1.0
-27|-17	-29|-27.-17	1.0
-27|-24	-29|-27.-24	1.0
-27|-24	-24|-27	0.5
-27|-22	-29|-27.-22	1.0
-27|-22	-25|-27	0.5
-22|-29	-17|	0.4166666666666667
-22|-29	-29|-22.-29	0.75
-22|-29	-27|-22	0.1111111111111111
-22|-29	-25|-22	0.027777777777777776
-29|-25	-22|-29.-25	1.0
-29|-25	-24|-29.-25	1.0
-29|-25	-27|-29	0.5625
-29|-34	-27|-29	1.0
-29|-5	-8|	1.0
-29|-24	-24|	0.8
-29|-24	-22|-29.-24	0.75
-29|-24	-17|-29	0.04
-29|-36	-24|-29.-36	0.5
-29|-17	-22|-29	1.0
-24|-22	-27|-24	1.0
-29|-22	-24|-29.-22	0.75
-29|-22	-22|-29.-22	0.75
-29|-22	-27|-29	0.3333333333333333
-24|-25	-27|-24	0.3333333333333333
-24|-25	-25|-24	0.6666666666666666
-24|-27	-30|	0.2
-24|-27	-25|-24	0.4
-24|-27	-27|-24	0.4
-22|-12	-17|	1.0
-22|-27	-34|	0.10714285714285714
-22|-27	-29|-22.-27	0.6
-22|-27	-27|-22	0.14285714285714285
-22|-27	-25|-22	0.03571428571428571
-22|-25	-24|-22	1.0
-25|-22	-22|-25	0.5
-25|-22	-29|-25	0.5
-25|-36	-8|	1.0
-25|-12	-12|	1.0
-27|-30	-29|	1.0
-27|-29	-22|-27	1.0
-36|-12	-8|	0.5
-36|-12	-25|-36	0.5
-29|-25.-17	-22|-29.-25	1.0
-29|-25.-24	-27|-29.-25.-24	1.0
-29|-25.-27	-27|-29	1.0
-29|-27.-17	-22|-29	1.0
-29|-27.-24	-24|-29.-27.-24	0.8
-29|-27.-22	-27|-29	1.0
-29|-22.-29	-22|-29.-22	0.75
-29|-22.-29	-24|-29.-22	0.25
-22|-29.-25	-29|-22.-29.-25	1.0
-24|-29.-25	-29|-24.-29.-25	0.3333333333333333
-24|-29.-22	-36|	0.75
-24|-29.-22	-29|-24	0.125
-24|-29.-22	-27|-24	0.125
-24|-29.-36	-29|-24.-29.-36	1.0
-24|-29.-36	-27|-24	0.5
-22|-29.-24	-17|	0.75
-22|-29.-24	-25|-22	0.25
-22|-29.-22	-17|	0.75
-22|-29.-22	-27|-22	0.25
-29|-22.-27	-22|-29.-22.-27	1.0
-29|-22.-27	-27|-29	0.6
-29|-22.-27	-24|-29.-22	0.2
-29|-22.-29.-25	-24|-29.-22	1.0
-29|-24.-29.-25	-17|-29	0.3333333333333333
-29|-24.-29.-25	-22|-29.-24	0.6666666666666666
-29|-24.-29.-36	-24|-29.-24.-29.-36	1.0
-24|-29.-27.-24	-29|-24.-29.-27.-24	1.0
-24|-29.-27.-24	-27|-24	0.2
-22|-29.-22.-27	-27|-22	1.0
-27|-29.-25.-24	-22|-27.-29.-25.-24	0.75
-24|-29.-24.-29.-36	-30|	1.0
-29|-24.-29.-27.-24	-24|-29.-24.-29.-27.-24	1.0
-22|-27.-29.-25.-24	-34|	0.75
-22|-27.-29.-25.-24	-25|-22	0.25
-24|-29.-24.-29.-27.-24	-25|-24	1.0
