-6|	-5|	1.0
-5|	-3|	0.7272727272727273
-5|	-6|	0.2727272727272727
-3|	-1|	0.7272727272727273
-3|	-5|-3	1.0
0|	-1|	0.17142857142857143
0|	5|	0.02857142857142857
0|	10|	0.02857142857142857
0|	-3|0	1.0
0|	2|0	1.0
0|	4|0	1.0
0|	7|0	0.16666666666666666
0|	9|0	1.0
0|	12|0	1.0
-1|	0|-1	0.15
-1|	7|-1	1.0
7|	5|	0.3055555555555556
7|	6|	0.1388888888888889
7|	13|	0.027777777777777776
7|	24|	0.027777777777777776
7|	-1|7	1.0
7|	0|7	0.3333333333333333
7|	4|7	1.0
7|	9|7	0.6666666666666666
19|	17|	0.23809523809523808
19|	18|	0.19047619047619047
19|	25|	0.047619047619047616
19|	16|	0.09523809523809523
19|	-1|19	1.0
19|	11|19	1.0
19|	12|19	0.5
19|	21|19	0.2
2|	-6|	0.1
2|	13|	0.06666666666666667
2|	-1|2	1.0
2|	0|2	0.14285714285714285
2|	4|2	0.5
12|	6|	0.045454545454545456
12|	11|	0.22727272727272727
12|	16|	0.045454545454545456
12|	9|	0.045454545454545456
12|	21|	0.09090909090909091
12|	22|	0.045454545454545456
12|	-6|	0.045454545454545456
12|	0|12	1.0
12|	14|12	1.0
12|	19|12	0.25
9|	11|	0.36363636363636365
9|	13|	0.045454545454545456
9|	10|	0.045454545454545456
9|	0|9	1.0
9|	4|9	1.0
9|	3|9	1.0
9|	7|9	0.5714285714285714
5|	2|5	1.0
5|	4|5	0.8
5|	7|5	1.0
4|	3|	0.1875
4|	13|	0.03125
4|	6|	0.03125
4|	2|4	0.2727272727272727
4|	7|4	0.8571428571428571
4|	5|4	1.0
6|	0|	0.1
6|	4|6	1.0
6|	7|6	0.8
6|	13|6	1.0
3|	2|3	1.0
3|	4|3	1.0
14|	16|	0.28
14|	6|	0.12
14|	25|	0.08
14|	4|14	1.0
14|	7|14	1.0
14|	9|14	1.0
14|	12|14	0.14285714285714285
14|	11|14	0.3333333333333333
10|	7|	0.5
10|	9|10	1.0
11|	13|	0.058823529411764705
11|	9|11	0.2
11|	12|11	0.1111111111111111
11|	19|11	1.0
13|	14|13	0.125
24|	23|	0.75
24|	12|24	1.0
18|	12|18	1.0
18|	16|18	1.0
18|	19|18	0.5
18|	25|18	1.0
21|	23|	0.21428571428571427
21|	22|	0.07142857142857142
21|	15|	0.07142857142857142
21|	12|21	1.0
21|	16|21	1.0
21|	19|21	0.16666666666666666
21|	25|21	1.0
17|	16|	0.2857142857142857
17|	14|17	1.0
17|	19|17	1.0
16|	15|	0.1111111111111111
16|	17|	0.1111111111111111
16|	25|	0.05555555555555555
16|	18|	0.05555555555555555
16|	14|16	0.6666666666666666
16|	19|16	0.6666666666666666
26|	28|	0.2
26|	24|	0.2
26|	16|26	1.0
26|	19|26	1.0
26|	21|26	1.0
26|	23|26	1.0
26|	18|26	1.0
15|	14|	0.3333333333333333
15|	16|15	1.0
22|	19|22	1.0
22|	21|22	1.0
23|	24|	0.14285714285714285
23|	25|	0.14285714285714285
23|	21|23	0.2
25|	26|	1.0
28|	26|28	1.0
-5|-3	-6|	1.0
-3|0	-5|-3	1.0
-1|7	7|-1	1.0
-1|19	7|-1	1.0
-1|2	0|-1.2	0.5
0|-1	-1|	0.15
0|-1	-3|0	0.15
0|-1	2|0	0.55
0|-1	4|0	0.15
0|7	5|	0.3333333333333333
0|7	7|0	0.3333333333333333
0|7	12|0	0.3333333333333333
0|2	10|	0.14285714285714285
0|2	-1|	0.42857142857142855
0|2	7|0	0.2857142857142857
0|2	9|0	0.14285714285714285
0|12	9|0	1.0
0|9	7|0	1.0
2|5	-1|2	1.0
2|4	-6|	0.2727272727272727
2|4	13|	0.18181818181818182
2|4	0|2	0.5454545454545454
4|6	2|4.6	1.0
2|3	0|2	1.0
2|0	4|2	1.0
4|7	2|4	1.0
4|0	2|4	1.0
4|3	7|4	1.0
4|9	6|	1.0
4|2	3|	0.4166666666666667
4|2	5|4	0.5
4|2	7|4	0.08333333333333333
4|5	3|	0.2
4|5	2|4	0.8
4|14	13|	1.0
3|9	2|3	1.0
7|0	5|	0.6666666666666666
7|0	6|7.0	1.0
7|0	-1|7	0.16666666666666666
7|-1	0|7	1.0
7|14	13|	1.0
7|4	5|7.4	1.0
7|4	0|7	0.14285714285714285
7|9	6|	0.5714285714285714
7|9	4|7	0.2857142857142857
7|9	9|7	0.14285714285714285
7|5	9|7	1.0
7|6	24|	0.2
7|6	9|7	0.8
5|4	7|5	1.0
9|10	3|9	1.0
9|11	4|9	0.2
9|11	7|9	0.8
9|14	13|	1.0
9|7	11|	0.6666666666666666
9|7	10|	0.08333333333333333
9|7	0|9	0.25
9|0	7|9	1.0
14|13	6|	0.25
14|13	16|	0.25
14|13	11|14.13	1.0
14|13	9|14	0.125
14|13	4|14	0.125
14|13	7|14	0.125
11|19	19|11	1.0
12|24	11|	1.0
12|14	21|	0.14285714285714285
12|14	22|	0.14285714285714285
12|14	11|	0.42857142857142855
12|14	19|12	0.2857142857142857
12|18	14|12	1.0
12|19	-6|	0.5
12|19	19|12	0.5
12|21	19|12	1.0
12|0	21|	1.0
11|14	13|	0.3333333333333333
11|14	12|11.14	0.5
12|11	9|	0.1111111111111111
12|11	11|	0.1111111111111111
12|11	16|	0.1111111111111111
12|11	6|	0.1111111111111111
12|11	14|12	0.4444444444444444
12|11	0|12	0.1111111111111111
14|12	16|14.12	0.4
13|6	14|13.6	0.5
14|17	11|14	1.0
14|16	25|	0.2222222222222222
14|16	6|	0.1111111111111111
14|16	12|14	0.6666666666666666
16|18	14|16.18	1.0
16|26	25|	1.0
16|21	18|	1.0
16|15	19|16	1.0
19|12	18|	0.25
19|12	17|	0.5
19|12	11|19	0.25
19|11	12|19	1.0
19|16	17|	0.6666666666666666
19|16	12|19	0.3333333333333333
19|17	21|19	1.0
19|18	21|19	0.5
19|18	-1|19	0.5
19|21	16|	0.3333333333333333
19|21	18|	0.5
19|21	21|19	0.16666666666666666
19|22	17|	1.0
19|26	25|	1.0
21|19	22|	0.2
21|19	23|	0.6
21|19	12|21	0.2
21|22	15|	1.0
21|26	25|21	1.0
21|23	16|21	0.2
21|23	19|21	0.8
23|26	25|	1.0
18|26	25|18	1.0
26|28	24|	1.0
25|18	26|25.18	0.5
25|21	26|25.21	1.0
0|-1.2	-1|	0.5
0|-1.2	4|0	0.5
2|4.6	13|	1.0
5|7.4	2|5	1.0
11|14.13	13|	1.0
12|11.14	11|	0.5
12|11.14	16|	0.5
6|7.0	0|	1.0
14|13.6	7|14	0.5
14|13.6	9|14	0.5
14|16.18	25|	1.0
16|14.12	15|	0.4
16|14.12	17|	0.4
16|14.12	19|16	0.2
26|25.18	21|26	0.5
26|25.18	19|26	0.5
26|25.21	23|26	1.0
