-8 => -20 0.3333333333333333
-8 => -14 0.16666666666666666
-8 => -4 0.16666666666666666
-8 => -13 0.3333333333333333
-20 => -4 0.75
-20 => -8 0.25
-4 => -13 0.5
-4 => -20 0.25
-4 => -8 0.25
-13 => -8 0.5
-13 => -6 0.3333333333333333
-13 => -15 0.16666666666666666
-8 -13 => -6 1.0
-14 => -6 0.3333333333333333
-14 => -13 0.3333333333333333
-14 => -20 0.3333333333333333
-6 => -13 0.3333333333333333
-6 => -14 0.6666666666666666
-15 => -22 1.0
-22 => -17 1.0
-17 => -16 1.0
-16 => -10 1.0
-10 => -5 1.0
-5 => 2 1.0
2 => 14 1.0
14 => 26 1.0
