-22|	-29|-22	0.875
-29|	-22|	0.5384615384615384
-29|	-15|	0.15384615384615385
-29|	-18|	0.02564102564102564
-29|	-13|-29	1.0
-13|	-28|	0.49473684210526314
-13|	-21|	0.30526315789473685
-13|	-15|	0.031578947368421054
-13|	-18|	0.010526315789473684
-13|	-29|-13	0.2
-15|	-22|	0.09090909090909091
-15|	-13|-15	1.0
-18|	-15|-18	1.0
-18|	-28|-18	1.0
-24|	-18|	0.3333333333333333
-24|	-13|-24	1.0
-28|	-24|	0.0625
-28|	-13|-28	0.6444444444444445
-21|	-15|	0.41379310344827586
-21|	-13|-21	0.8823529411764706
-29|-22	-22|	0.875
-29|-22	-15|	0.125
-29|-13	-15|	0.2
-29|-13	-18|	0.06666666666666667
-29|-13	-13|-29	0.7333333333333333
-15|-18	-22|	1.0
-13|-24	-15|	1.0
-13|-29	-28|-13.-29	1.0
-13|-28	-21|	0.6444444444444445
-13|-28	-28|	0.022222222222222223
-13|-28	-29|-13	0.3333333333333333
-28|-18	-13|-28.-18	1.0
-13|-15	-28|	1.0
-13|-21	-28|	0.8823529411764706
-13|-21	-15|	0.058823529411764705
-13|-21	-18|	0.058823529411764705
-28|-13.-29	-13|-28.-13.-29	1.0
-13|-28.-18	-28|	1.0
-13|-28.-13.-29	-29|-13	1.0
