-24 => -27 0.029411764705882353
-24 => -19 0.35294117647058826
-24 => -29 0.2647058823529412
-24 => -25 0.08823529411764706
-24 => -22 0.08823529411764706
-24 => -31 0.17647058823529413
-25 => -24 1.0
-25 -24 => -22 1.0
-12 => -24 1.0
-12 -24 => -19 1.0
-30 => -29 1.0
-30 -29 => -24 1.0
-30 -29 -24 => -29 1.0
-22 => -29 1.0
-22 -29 => -24 0.75
-22 -29 => -22 0.25
-22 -29 -24 => -25 0.3333333333333333
-22 -29 -24 => -31 0.3333333333333333
-22 -29 -24 => -29 0.3333333333333333
-24 -29 => -24 1.0
-24 -29 -24 => -19 0.6666666666666666
-24 -29 -24 => -31 0.3333333333333333
-31 => -30 0.5
-31 => -29 0.5
-31 -29 => -24 1.0
-31 -29 -24 => -19 1.0
-19 => -20 0.23529411764705882
-19 => -17 0.23529411764705882
-19 => -24 0.17647058823529413
-19 => -22 0.35294117647058826
-19 -24 => -29 1.0
-27 => -29 1.0
-29 => -19 0.03571428571428571
-29 => -24 0.8571428571428571
-29 => -22 0.10714285714285714
-27 -29 => -19 1.0
-12 -24 -19 => -24 1.0
-31 -29 -24 -19 => -20 1.0
-24 -29 -24 -19 => -22 1.0
-20 => -19 1.0
-20 -19 => -17 1.0
-29 -19 => -20 1.0
-17 => -12 1.0
