-27 => -23 0.75
-27 => -26 0.125
-27 => -31 0.0625
-27 => -20 0.0625
-26 => -27 0.75
-26 => -28 0.25
-26 -27 => -31 0.3333333333333333
-26 -27 => -23 0.6666666666666666
-20 => -22 0.2608695652173913
-20 => -27 0.4782608695652174
-20 => -19 0.2608695652173913
-20 -27 => -26 0.5454545454545454
-20 -27 => -23 0.45454545454545453
-20 -27 -26 => -27 1.0
-20 -27 -26 -27 => -31 1.0
-28 => -27 1.0
-28 -27 => -23 1.0
-28 -27 -23 => -27 1.0
-28 -27 -23 -27 => -23 1.0
-28 -27 -23 -27 -23 => -27 1.0
-28 -27 -23 -27 -23 -27 => -20 1.0
-23 => -27 0.7692307692307693
-23 => -20 0.23076923076923078
-23 -27 => -20 0.1
-23 -27 => -23 0.8
-23 -27 => -26 0.1
-23 -27 -23 => -20 0.375
-23 -27 -23 => -27 0.625
-23 -27 -23 -27 => -23 0.6
-23 -27 -23 -27 => -20 0.2
-23 -27 -23 -27 => -26 0.2
-23 -27 -23 -27 -23 => -27 0.3333333333333333
-23 -27 -23 -27 -23 => -20 0.6666666666666666
-23 -27 -23 -27 -23 -27 => -26 1.0
-24 => -26 1.0
-24 -26 => -28 1.0
-27 -20 => -27 1.0
-22 => -31 0.5
-22 => -24 0.5
-19 => -22 1.0
-19 -22 => -24 1.0
-20 -22 => -31 1.0
-31 => -26 0.5
-31 => -23 0.5
-22 -31 => -26 1.0
-27 -31 => -23 1.0
