unweighted_abruptness	weighted_abruptness	branchiness_mean	branchiness_variance	repeteadness_mean	repeteadness_variance	melodic_mean	melodic_variance	pitch_in_piece	pitch_in_rules	pitch_between_rules
17	21	3.935483870967742	3.479708636836629	6.549999999999997	3.354462809917355	1.6129032258064515	0.23725286160249745	31	7.290322580645161	13.464285714285714
2	22	4.0	3.230769230769231	1.8499999999999996	0.1875	1.1538461538461537	0.13017751479289943	153	10.23076923076923	89.66666666666667
2	2	2.0	0.5714285714285714	2.6999999999999993	0.5306122448979592	1.1428571428571428	0.12244897959183675	162	3.4285714285714284	89.25
19	19	2.125	0.859375	2.1999999999999993	0.3460207612456748	1.0	0.0	163	0.0	21.666666666666668
30	29	2.6666666666666665	2.6222222222222222	3.98333333333335	1.3049803809398262	1.7333333333333334	0.7288888888888891	30	11.666666666666666	23.272727272727273
8	21	3.9012345679012346	5.545800944977899	6.605757454738699	3.3343224399852747	2.8518518518518516	1.6323731138545954	161	12.037037037037036	16.885245901639344
1	1	2.0	1.0	1.6499999999999995	0.12483398437499998	1.0	0.0	32	0.0	5.285714285714286
8	10	3.652173913043478	3.2703213610586013	12.0	11.091032633511995	1.8695652173913044	0.4612476370510396	156	5.5	15.261904761904763
28	1	3.25	0.6875	1.0	0.0	1.0	0.0	141	0.0	14.5
6	6	1.7142857142857142	1.9183673469387748	1.6999999999999993	0.12479591836734696	1.0	0.0	22	0.0	11.333333333333334
17	17	1.0	0.0	0	0.0	1.0	0.0	17	0.0	17.0
4	14	4.019417475728155	4.640399660665474	7.188461538461651	4.490711047311063	2.179611650485437	0.5648270336506739	161	11.063106796116505	16.565853658536586
12	12	1.7142857142857142	0.20408163265306126	5.0	2.2222222222222223	1.0	0.0	27	0.0	11.333333333333334
10	10	2.4	0.24	3.0	0.6666666666666666	1.4	0.24	10	3.6	9.0
12	31	4.91684434968017	14.530398570655706	11.0	10.403385234394728	1.9936034115138592	0.14708061883697568	168	18.16737739872068	23.892992424242426
20	2	3.688888888888889	3.6365432098765433	5.799999999999997	2.3220904912479843	1.6444444444444444	0.2291358024691358	24	6.666666666666667	10.944444444444445
1	7	4.368932038834951	3.6891318691676878	7.0	4.647489571322495	1.8932038834951457	0.2895654632858894	20	3.1650485436893203	5.528735632183908
15	9	3.8333333333333335	4.638888888888888	4.0	1.3121323718582414	2.125	1.609375	158	6.291666666666667	18.055555555555557
5	5	3.6363636363636362	3.6859504132231407	3.3999999999999986	0.9467455621301776	1.1818181818181819	0.1487603305785124	33	0.7272727272727273	7.428571428571429
3	3	2.4347826086956523	1.20226843100189	3.599999999999998	0.8894173602853745	1.0	0.0	146	0.0	34.375
4	4	2.3636363636363638	1.867768595041322	4.0	1.1798001700680019	1.3636363636363635	0.23140495867768598	14	1.9090909090909092	7.090909090909091
4	4	2.5	0.9166666666666666	5.0	2.0323862317355204	1.4166666666666667	0.4097222222222221	19	1.5833333333333333	6.4
8	136	3.9327731092436973	3.7265729821340305	8.0	5.33434349804063	1.7983193277310925	0.2954593602146742	151	11.3109243697479	19.09
8	8	3.6296296296296298	4.492455418381344	13.899999999999977	14.346762396802319	1.5	0.25	159	5.185185185185185	13.321428571428571
2	4	3.75	3.1875	3.6355555555554	1.0053633557798995	1.0833333333333333	0.07638888888888888	143	1.2916666666666667	5.333333333333333
13	13	2.909090909090909	2.6280991735537196	4.8	1.7134337007541003	1.8181818181818181	1.1487603305785121	16	3.1363636363636362	6.411764705882353
2	2	1.8461538461538463	0.2840236686390533	6.0	2.8326530612244896	1.0	0.0	24	0.0	4.2727272727272725
4	4	2.4	0.8400000000000001	3.3499999999999996	0.8826530612244898	1.0	0.0	17	0.0	9.285714285714286
105	105	2.8333333333333335	1.3055555555555556	5.0	2.090236686390532	1.1666666666666667	0.13888888888888892	129	0.16666666666666666	7.444444444444445
2	4	3.2857142857142856	2.489795918367347	3.0	0.7891156462585035	1.2857142857142858	0.20408163265306123	146	10.571428571428571	8.88888888888889
12	12	2.1538461538461537	0.5917159763313611	3.849999999999998	0.9565972222222223	1.0	0.0	20	0.0	8.7
2	2	1.5	0.75	1.978693181818	0.21893876804329657	1.0	0.0	9	0.0	4.25
6	10	2.75	1.6875	4.9296875	1.8065893018850605	1.5625	0.37109375	158	14.5625	12.846153846153847
122	122	1.3333333333333333	0.2222222222222222	1.9	0.2222222222222222	1.0	0.0	135	0.0	67.5
117	148	3.3	3.3099999999999996	2.1499999999999986	0.31172839506172845	1.2	0.16000000000000003	153	24.75	76.42857142857143
6	6	2.5714285714285716	1.3877551020408165	7.649999999999999	4.916232638888888	1.0	0.0	25	0.0	5.636363636363637
2	2	2.8333333333333335	1.8055555555555554	1.75	0.1388888888888889	1.1666666666666667	0.13888888888888887	24	0.8333333333333334	2.4
13	13	2.0	0.0	0.9892857142857	0.011479591836765302	1.0	0.0	13	0.0	13.0
16	16	2.5	1.4166666666666667	1.6999999999999993	0.12244897959183677	1.0	0.0	27	0.0	12.166666666666666
13	31	4.448405253283302	10.73139051494426	14.0	17.33580916071514	2.3161350844277675	0.3456496027653306	167	20.596622889305817	26.521422060164085
1	1	3.263157894736842	2.825484764542936	2.0	0.20619883040936607	1.4210526315789473	0.3490304709141274	12	0.6842105263157895	2.6923076923076925
9	125	2.6956521739130435	1.2551984877126654	8.049999999999997	5.659722222222222	1.2173913043478262	0.17013232514177695	160	27.956521739130434	73.23809523809524
3	2	4.473684210526316	4.915974145891044	9.0	6.710411263457359	1.9473684210526316	0.29547553093259465	21	3.1315789473684212	4.443181818181818
2	2	2.0	0.75	1.75	0.13888888888888887	1.0	0.0	18	0.0	2.8
2	8	4.228571428571429	6.147755102040816	11.0	9.439406503813007	1.6428571428571428	0.2581632653061224	135	3.6857142857142855	8.803571428571429
6	4	2.923076923076923	1.532544378698225	4.0	1.1967346938775512	1.2307692307692308	0.17751479289940827	32	1.3076923076923077	5.8125
11	19	2.2666666666666666	1.128888888888889	3.9787234042549997	1.183005613793469	1.4666666666666666	0.3822222222222223	26	5.6	11.785714285714286
2	2	2.0	0.0	2.0	0.25	1.0	0.0	9	0.0	6.0
20	15	2.4166666666666665	0.576388888888889	11.0	11.241676003511513	2.4583333333333335	1.8315972222222223	24	8.625	12.772727272727273
7	7	1.875	0.109375	12.049999999999997	13.222222222222221	1.0	0.0	152	0.0	25.0
10	9	3.9365079365079363	4.408667170571932	15.0	19.976257110044664	1.9894179894179893	0.4549144760784972	190	6.116402116402116	10.295566502463053
6	9	2.9655172413793105	2.2401902497027346	4.0	1.1940049161157607	1.4482758620689655	0.24732461355529128	21	2.7241379310344827	5.92
158	18	3.861271676300578	6.21196832503592	9.0	6.599188922886408	3.2485549132947975	2.0018042701059175	158	23.179190751445088	24.33644859813084
4	24	3.8823529411764706	2.7508650519031135	5.079999999999996	2.2291079900781323	2.3823529411764706	1.236159169550173	25	13.588235294117647	17.24
3	7	3.0	1.2857142857142858	6.0	2.6841165972635337	1.2142857142857142	0.16836734693877548	17	0.5	2.9166666666666665
17	12	4.112676056338028	5.987304106328108	6.0	2.7781165173588933	1.9859154929577465	0.6336044435627853	159	7.633802816901408	14.846153846153847
2	1	3.953488372093023	5.672255273120606	15.0	18.648078355895024	2.0348837209302326	0.49878312601406166	24	7.4186046511627906	12.0
7	7	2.857142857142857	1.551020408163265	1.0	0.0	1.0	0.0	27	0.0	6.0
5	5	1.6	0.24	3.549999999999999	1.0	1.0	0.0	22	0.0	5.5
19	3	2.888888888888889	1.432098765432099	1.0	0.0	1.0	0.0	153	0.0	7.666666666666667
1	2	2.8260869565217392	1.7958412098298675	9.0	6.516396536265596	2.0217391304347827	0.8473534971644613	15	2.1739130434782608	4.27906976744186
1	1	4.588235294117647	5.301038062283738	5.0	2.1963943419922	1.9251336898395721	0.18690840458691982	26	5.770053475935829	8.372093023255815
15	6	4.0	3.2	12.0	12.285565706558685	1.8333333333333333	0.3722222222222223	24	6.55	9.51923076923077
12	12	2.0	2.0	1.0	0.0	1.0	0.0	25	0.0	12.0
4	4	2.0	0.8571428571428571	2.0	0.20408163265306126	1.0	0.0	166	0.0	34.4
2	2	2.4	0.8400000000000001	3.299999999999999	0.8622222222222222	1.1	0.09	14	0.2	3.0
1	2	3.066666666666667	2.062222222222222	4.0	1.3856000000000004	1.3333333333333333	0.35555555555555546	36	0.6	5.6
2	6	3.5	2.5	6.0	2.4882345178621925	1.625	0.296875	17	2.625	5.357142857142857
7	9	3.6216216216216215	3.6406135865595317	6.800000000000449	3.633647484482485	1.7837837837837838	0.49379108838568286	31	7.5675675675675675	13.208333333333334
113	98	3.9393939393939394	4.4811753902663005	11.0	9.06847579637819	1.606060606060606	0.23875114784205692	117	5.848484848484849	12.323529411764707
2	2	1.0	0.0	0	0.0	1.0	0.0	2	0.0	2.0
