unweighted_abruptness	weighted_abruptness	branchiness_mean	branchiness_variance	repeteadness_mean	repeteadness_variance	melodic_mean	melodic_variance	pitch_in_piece	pitch_in_rules	pitch_between_rules
1	2	2.6666666666666665	1.688888888888889	5.0	1.9235796045785643	1.2	0.16000000000000003	15	0.9333333333333333	3.272727272727273
1	3	4.611940298507463	7.244932056137224	12.0	12.67185529944391	2.1529850746268657	0.41316273112051677	149	4.097014925373134	6.872881355932203
9	5	3.5076923076923077	1.8191715976331362	10.0	8.095814337785024	1.6615384615384616	0.2239053254437869	31	2.8153846153846156	5.791666666666667
7	7	3.5555555555555554	3.9506172839506166	9.0	6.3001430855988545	1.4444444444444444	0.24691358024691362	17	1.3703703703703705	3.6818181818181817
1	1	2.888888888888889	1.2098765432098764	1.93	0.17	1.2222222222222223	0.1728395061728395	7	0.3333333333333333	1.8333333333333333
2	2	3.272727272727273	1.2892561983471074	0	0.0	1.0909090909090908	0.08264462809917354	12	0.09090909090909091	2.0
6	7	3.9085714285714284	3.26021224489796	8.0	4.9629649479931635	2.2457142857142856	0.6996244897959186	28	4.748571428571428	7.561290322580645
6	3	3.960526315789474	3.3800207756232683	8.0	5.252502222494941	2.2039473684210527	0.6097212603878116	20	4.059210526315789	6.292857142857143
2	7	4.085106382978723	5.852939274396948	10.0	7.92677247026854	2.316109422492401	0.7207435260206392	34	4.325227963525836	6.255255255255255
2	2	3.7333333333333334	3.3400000000000003	22.0	40.286466793460356	2.3333333333333335	0.8111111111111111	142	5.194444444444445	7.899441340782123
122	3	3.575221238938053	3.1292975174250146	10.961111111111148	9.834027280300385	2.1238938053097347	0.621818466598794	134	9.4070796460177	19.294642857142858
5	1	3.9072164948453607	3.5068551386969915	8.0	5.2212408562641	2.082474226804124	0.4468062493357424	36	4.180412371134021	6.717703349282297
2	2	3.8461538461538463	3.2975983292725375	12.0	13.518968967296678	1.990950226244344	0.38905837308818403	53	4.53393665158371	7.893805309734513
9	3	3.8875	3.8748437499999993	12.714285714286	14.097939832862206	2.05625	0.45308593749999987	146	7.0	10.42483660130719
5	2	3.3846153846153846	2.08284023668639	1.7999999999999998	0.16	1.2307692307692308	0.1775147928994083	14	0.6153846153846154	4.75
2	9	4.568181818181818	8.045351239669422	8.0	5.457518405164139	2.202272727272727	0.4477221074380165	153	10.970454545454546	15.78066037735849
5	3	3.466666666666667	2.315555555555555	7.0	4.392161473642956	2.011111111111111	0.49987654320987646	29	3.4	5.627659574468085
4	2	3.2941176470588234	1.619377162629758	3.25	0.8125	1.411764705882353	0.35986159169550175	11	0.9411764705882353	3.375
7	2	3.7142857142857144	3.096938775510204	8.0	5.643805895691609	1.7678571428571428	0.3925382653061225	21	3.1607142857142856	6.176470588235294
1	7	3.7037037037037037	3.2455418381344296	4.8	1.9718066384495432	1.4814814814814814	0.2496570644718793	21	1.5185185185185186	5.863636363636363
7	1	3.6	2.578461538461539	8.0	5.210819615912208	1.7846153846153847	0.4766863905325444	157	4.6923076923076925	11.34
6	7	4.309037900874635	6.40595330177052	9.0	6.583373893946158	1.9766763848396502	0.2560157757397003	53	6.373177842565598	9.228260869565217
4	2	3.4025974025974026	3.1755776690841624	5.0	2.0536756540531735	1.8181818181818181	0.48642266824085006	32	3.0	5.585714285714285
4	16	4.831775700934579	11.292572859347251	9.0	6.055469853200435	2.0981308411214954	0.253610213410196	160	13.161993769470405	18.334834834834833
7	5	3.8501628664495113	4.635529289435431	14.0	16.887004044650475	2.452768729641694	0.6907659497713503	31	5.456026058631922	7.291666666666667
7	4	4.082474226804123	4.281857795727494	7.0	3.8591295268851145	1.958762886597938	0.4519077479009459	25	3.268041237113402	5.6103896103896105
1	3	4.105263157894737	2.831024930747923	4.0	1.2488888888888887	1.6842105263157894	0.32132963988919666	8	2.6315789473684212	3.727272727272727
14	15	4.641726618705036	11.02703586770871	13.0	16.134009301318944	2.135251798561151	0.3040091092593551	160	15.893525179856114	22.181944444444444
17	12	3.8292682926829267	4.239143367043426	6.559999999999992	3.345322044770314	1.8048780487804879	0.4741225461035098	41	3.6951219512195124	7.451612903225806
5	5	3.533333333333333	4.248888888888888	5.0	2.10232004759072	1.5666666666666667	0.3122222222222221	17	2.033333333333333	4.208333333333333
1	1	3.142857142857143	2.0272108843537415	6.0	2.3858471074380163	1.4285714285714286	0.24489795918367352	13	1.380952380952381	3.0
5	12	3.915492957746479	4.443562785161674	12.0	12.451423614969082	1.8309859154929577	0.30946240825233096	126	5.197183098591549	9.228571428571428
