34|	36|34	7
34|	38|34	1
34|	35|	5
34|	29|	9
39|38	40|39	3
24|	26|	1
24|	29|24	1
36|33	37|	2
36|38	34|36	13
38|34	37|	1
38|	39|38	3
38|	36|38	13
38|	31|38	8
38|	37|	1
34|31	29|	9
33|40.39	40|33	3
38|39	36|38	4
31|29	34|31	1
31|29	30|	1
36|37	31|36	1
33|	36|33	2
33|	38|33	7
33|	40|33	4
29|24	24|	1
31|	36|31	2
31|	34|31	9
31|	30|	1
31|	28|	4
26|	29|	1
29|	24|	2
29|	38|29	3
29|	27|	1
29|	31|29	1
29|	40|	17
40|29.36	38|40	7
35|	36|35	4
36|34	29|36	7
29|36	40|29.36	7
39|	38|39	4
39|	40|39	3
36|31	31|36	2
36|31	28|	1
37|	36|37	1
37|	38|	2
27|	28|	1
36|35	31|36	4
36|35	28|	1
34|36	38|34	1
34|36	36|34	7
34|36	35|	5
40|39	33|40.39	3
31|36	36|31	3
31|36	28|	4
40|33	39|	4
38|33	36|38	7
38|29	39|38	3
38|29	31|38	1
31|38	34|31	8
32|	33|	1
29|28	24|	1
29|28	38|29	3
29|28	27|	1
29|28	31|29	1
29|28	40|	1
30|	29|	1
28|	29|28	1
38|40	31|38	7
36|	34|36	1
36|	29|36	7
36|	37|	2
36|	28|	2
36|	31|36	4
40|	38|40	7
40|	39|	4
40|	33|	12
40|	32|	1
