
-5 -5
-8 -5 -3 -5 -9 -5 -8 -8 -8 -11 -12 -15 -12
-14 -12 -10 -7 -5 -2 2 -2
-10 -8 -5 -6 -10 -8 -9 -9 -10 -7 -7 -6 -5 -7 -12 -14 -12 -14 -12 -10 -14
-10 -5 -5 -8 -5 -8 -5 -8 -5 -2 4 2 0 2 -2 -5 -8 -10 4 2 4 2 0 -2 -5 -8 -5
7 4 7 4 2 4 2 -3 2 -3 -5 0 0 0 2 7 0 -3 -5 -3 -8 -5
4 2 4 4 2 0 -2 -5 -7 -10 -2 -7 -5 -7 -5 -3 1 0 1 0 -2 0 1 -2 -5
-5 -2 1 2 0 -2 -5 1 2 0 -2 -5 1 2 0 -2 -5 -8 -5 -8 -10 -5 -5
-6 -7 -8 -17 -15 -14
-14 -5 -13 -14 -15 -5 -15 -16 -17 -5 -19 -18 -17
-5 -3 -5 -3 -5 -3 -5 -3 -5 -5 -8 -12
4 2 4 5 7 5 4 2 -2 0 2 0 -2 -5 0 -2 -5 -7 -10 -12 -14 -12 -17 -14 -12
-15 -10 -5 -5 -5 -2 2 4 7 4 2 -2 -5 -8 -11 -9 -5 -5
0 -2 -3 -5
0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 2 7 9 4 2 0 -2 -5 -10 -5
1 1 -2 0 2 -5 -8
4 2 3 7 9 9 7 9 10
8 9 9 7 4
9 7 4 7 4 2 4 7 4 2 -2 -5 -8 -4 -1 -1 -5 -1 -2 -2 0 -5 -2 -1 -1 -5 -1 -1 -1 -5 -1 -2 -2 0 -5 -2 -2 -2 0 -5 -2 -1 -1 -5 -1 -1 -1 -5 -1 -3 -3 -6 -3 -2
-1 -1 -5 -1 -1 -1 -5 -1 -1 -5 1 4 2 5 2 0 -2 2 -2 -5 -7 -2 -1 -5 -7 -10 -12
