-10 -13 => 128 1.0
-12 128 => -13 1.0
-8 128 => -10 0.375
-8 128 => -9 0.5
-8 128 => -8 0.125
-9 => -8 1.0
-12 => 128 1.0
-8 => 128 0.421052631579
-8 => -13 0.105263157895
-8 => -9 0.473684210526
-10 128 => -12 1.0
-6 128 => -9 1.0
-10 -13 128 => -13 1.0
-10 => 128 0.166666666667
-10 => -13 0.5
-10 => -12 0.333333333333
-13 => 128 0.545454545455
-13 => -12 0.181818181818
-13 => -9 0.272727272727
128 => -10 0.142857142857
128 => -13 0.333333333333
128 => -12 0.047619047619
128 => -9 0.428571428571
128 => -8 0.047619047619
-6 => 128 1.0
